gene	AD	CTL	delta	z_change	perc_AD	perc_CTL	delta_perc	HigherNetwork	gene_clean	delta_abs_percentil	logFC	is_dge	n_dge	hgnc_symbol	label
ENSG00000100302	3	22	-19	-0.27917295547639387	0.19518000595060991	0.3436477238916989	-0.14846771794108896	Control	ENSG00000100302	0.6649806605177031	-0.1747544291138059	FALSE	9	RASD2	RASD2
ENSG00000167613	23	80	-57	-0.7636543948069744	0.48021422195775065	0.6286819398988396	-0.14846771794108893	Control	ENSG00000167613	0.6646831300208271	-0.02456342933548327	FALSE	9	LAIR1	LAIR1
ENSG00000114942	28	94	-66	-0.878399998858954	0.5089259149062779	0.6572448675989289	-0.14831895269265094	Control	ENSG00000114942	0.6642368342755133	-0.18967693345040715	FALSE	9	EEF1B2	EEF1B2
ENSG00000175395	105	279	-174	-2.255347247482709	0.703659625111574	0.8519785778042249	-0.14831895269265094	Control	ENSG00000175395	0.6642368342755133	-0.10569863533024382	FALSE	9	ZNF25	ZNF25
ENSG00000159685	24	83	-59	-0.7891534179296366	0.4870574233858971	0.6350788455816722	-0.14802142219577508	Control	ENSG00000159685	0.6637905385301993	-0.131610322148493	FALSE	9	CHCHD6	CHCHD6
ENSG00000261879	26	88	-62	-0.8274019526136298	0.4982148170187444	0.6460874739660816	-0.14787265694733714	Control	ENSG00000261879	0.6634930080333235	0.13938130646984082	FALSE	9	ZNF594-DT	ZNF594-DT
ENSG00000260198	5	30	-25	-0.3556700248443803	0.26152930675394226	0.4089556679559655	-0.14742636120202324	Control	ENSG00000260198	0.6630467122880095	0.30306760560520285	FALSE	9	NA	ENSG00000260198
ENSG00000279702	5	30	-25	-0.3556700248443803	0.26152930675394226	0.4089556679559655	-0.14742636120202324	Control	ENSG00000279702	0.6630467122880095	0.24703038201777172	FALSE	9	NA	ENSG00000279702
ENSG00000126070	10	10	0	-0.03693223581110361	0.3635822671823862	0.216155905980363	0.14742636120202318	Control	ENSG00000126070	0.6618565903005058	0.08455351592345828	FALSE	9	AGO3	AGO3
ENSG00000197971	10	10	0	-0.03693223581110361	0.3635822671823862	0.216155905980363	0.14742636120202318	Control	ENSG00000197971	0.6618565903005058	0.01739592999800621	FALSE	9	MBP	MBP
ENSG00000151006	15	59	-44	-0.5979107445096705	0.41594763463254986	0.563373995834573	-0.14742636120202318	Control	ENSG00000151006	0.6618565903005058	0.24510856553776517	FALSE	9	PRSS53	PRSS53
ENSG00000214021	10	10	0	-0.03693223581110361	0.3635822671823862	0.216155905980363	0.14742636120202318	Control	ENSG00000214021	0.6618565903005058	0.00709616043759275	FALSE	9	TTLL3	TTLL3
ENSG00000245532	10	10	0	-0.03693223581110361	0.3635822671823862	0.216155905980363	0.14742636120202318	Control	ENSG00000245532	0.6618565903005058	0.06633913713153561	FALSE	9	NEAT1	NEAT1
ENSG00000141076	10	10	0	-0.03693223581110361	0.3635822671823862	0.216155905980363	0.14742636120202318	Control	ENSG00000141076	0.6618565903005058	-0.0866123639783023	FALSE	9	UTP4	UTP4
ENSG00000221983	40	31	9	0.077813368240876	0.5626301695923832	0.4153525736387979	0.14727759595358525	AD	ENSG00000221983	0.66081523356144	-0.12911511989184277	FALSE	9	UBA52	UBA52
ENSG00000086598	28	24	4	0.01406581043422065	0.5089259149062779	0.3622433799464445	0.1466825349598334	AD	ENSG00000086598	0.6603689378161262	-0.11801397847016482	FALSE	9	TMED2	TMED2
