gene	AD	CTL	delta	z_change	perc_AD	perc_CTL	delta_perc	HigherNetwork	gene_clean	delta_abs_percentil	logFC	is_dge	n_dge	hgnc_symbol	label
ENSG00000100030	63	63	0	-0.03048670472826269	0.6912602129239911	0.6655112651646448	0.02574894775934633	Control	ENSG00000100030	0.15164644714038128	-0.08297316605738558	FALSE	21	MAPK1	MAPK1
ENSG00000127561	541	586	-45	-0.6395338599146099	0.95481554840307	0.9804407031443426	-0.02562515474127258	Control	ENSG00000127561	0.15127506808615995	-0.23676143921765735	FALSE	21	SYNGR3	SYNGR3
ENSG00000165280	112	141	-29	-0.4229837602927976	0.753404307997029	0.7789056697202278	-0.02550136172319883	Control	ENSG00000165280	0.15102748205001237	-0.14130494119521053	FALSE	21	VCP	VCP
ENSG00000097021	554	612	-58	-0.8154808158573325	0.9603862342163902	0.985887595939589	-0.02550136172319872	Control	ENSG00000097021	0.15077989601386482	-0.31169728440693767	FALSE	21	ACOT7	ACOT7
ENSG00000165678	511	377	134	1.7831203796044155	0.9482545184451596	0.9228769497400346	0.02537756870512508	AD	ENSG00000165678	0.15053230997771724	-0.2867019254523253	FALSE	21	GHITM	GHITM
ENSG00000142676	9	19	-10	-0.16583051699189544	0.4207724684327804	0.4461500371379054	-0.02537756870512503	Control	ENSG00000142676	0.15003713790542214	0.04832666683441822	FALSE	21	RPL11	RPL11
ENSG00000114270	11	17	-6	-0.11169299208644234	0.45233968804159447	0.42696211933646944	0.02537756870512503	Control	ENSG00000114270	0.15003713790542214	-0.01662585962182916	FALSE	21	COL7A1	COL7A1
ENSG00000091317	9	19	-10	-0.16583051699189544	0.4207724684327804	0.4461500371379054	-0.02537756870512503	Control	ENSG00000091317	0.15003713790542214	0.21263216025566575	FALSE	21	CMTM6	CMTM6
ENSG00000124659	286	231	55	0.7139042627217173	0.872988363456301	0.8476107947511761	0.02537756870512497	AD	ENSG00000124659	0.149541965833127	-0.16754189984748535	FALSE	21	TBCC	TBCC
ENSG00000154217	7	15	-8	-0.1387617545391689	0.3815300817033919	0.4067838573904432	-0.02525377568705128	Control	ENSG00000154217	0.14929437979697946	-0.05692111756840568	FALSE	21	PITPNC1	PITPNC1
ENSG00000171004	492	353	139	1.850792285736232	0.9414459024511016	0.9161921267640504	0.02525377568705122	AD	ENSG00000171004	0.14904679376083188	-0.376133375697993	FALSE	21	HS6ST2	HS6ST2
ENSG00000185742	445	479	-34	-0.4906556664246139	0.9309234959148304	0.955929685565734	-0.02500618965090373	Control	ENSG00000185742	0.14855162168853678	-0.3367040580960854	FALSE	21	C11orf87	C11orf87
ENSG00000100320	212	172	40	0.5108885443262682	0.8313939093835108	0.806387719732607	0.02500618965090373	AD	ENSG00000100320	0.14855162168853678	-0.13554331059166635	FALSE	21	RBFOX2	RBFOX2
ENSG00000115825	75	105	-30	-0.4365181415191608	0.7126764050507551	0.7376825947016589	-0.02500618965090373	Control	ENSG00000115825	0.14855162168853678	0.25511990991935996	FALSE	21	PRKD3	PRKD3
ENSG00000007237	392	297	95	1.255279511776248	0.9128497152760584	0.8878435256251548	0.02500618965090362	AD	ENSG00000007237	0.14805644961624165	-0.19846361346858643	FALSE	21	GAS7	GAS7
ENSG00000144290	634	466	168	2.243289341300767	0.9783362218370883	0.9534538252042584	0.02488239663282987	AD	ENSG00000144290	0.1478088635800941	-0.23973938529247008	FALSE	21	SLC4A10	SLC4A10
ENSG00000152932	661	484	177	2.3650987723380363	0.981926219361228	0.957167615746472	0.02475860361475612	AD	ENSG00000152932	0.14731369150779897	-0.4729132195238428	FALSE	21	RAB3C	RAB3C
ENSG00000139973	668	490	178	2.3786331535643996	0.983040356523892	0.958281752909136	0.02475860361475612	AD	ENSG00000139973	0.14731369150779897	-0.26606415954922014	FALSE	21	SYT16	SYT16
ENSG00000186951	118	103	15	0.17252901366718637	0.7599653379549394	0.7352067343401832	0.02475860361475612	AD	ENSG00000186951	0.14731369150779897	0.18269629829656608	FALSE	21	PPARA	PPARA
ENSG00000196588	37	56	-19	-0.28763994802916487	0.6239168110918544	0.6485516216885368	-0.02463481059668237	Control	ENSG00000196588	0.14681851943550384	-0.00684470099885814	FALSE	21	MRTFA	MRTFA
ENSG00000146701	569	634	-65	-0.9102214844418752	0.9644714038128248	0.9889824213914336	-0.02451101757860863	Control	ENSG00000146701	0.1464471403812825	-0.2433545639122574	FALSE	21	MDH2	MDH2
ENSG00000198673	434	464	-30	-0.4365181415191608	0.9284476355533549	0.9529586531319634	-0.02451101757860863	Control	ENSG00000198673	0.1464471403812825	-0.144024192132429	FALSE	21	TAFA2	TAFA2
ENSG00000114166	58	83	-25	-0.3688462353873445	0.6818519435503838	0.7062391681109186	-0.02438722456053477	Control	ENSG00000114166	0.14607576132706115	0.17978915239320692	FALSE	21	KAT2B	KAT2B
ENSG00000169282	414	316	98	1.295882655455338	0.9218866055954444	0.8976231740529834	0.02426343154246102	AD	ENSG00000169282	0.1458281752909136	-0.2844892595310604	FALSE	21	KCNAB1	KCNAB1
ENSG00000197860	393	301	92	1.2146763680971584	0.9133448873483536	0.8890814558058926	0.02426343154246091	AD	ENSG00000197860	0.14545679623669225	-0.2970685863281979	FALSE	21	SGTB	SGTB
ENSG00000007264	37	42	-5	-0.09815861086007906	0.6239168110918544	0.5996533795493935	0.02426343154246091	Control	ENSG00000007264	0.14545679623669225	-0.09127218815472736	FALSE	21	MATK	MATK
ENSG00000164032	60	61	-1	-0.04402108595462597	0.6849467690022283	0.660807130477841	0.02413963852438727	Control	ENSG00000164032	0.14508541718247092	-0.10310531043403336	FALSE	21	H2AZ1	H2AZ1
ENSG00000163001	323	255	68	0.8898512186644398	0.8875959395890072	0.8635800940826938	0.02401584550631341	AD	ENSG00000163001	0.14483783114632334	-0.1612782609513257	FALSE	21	CFAP36	CFAP36
ENSG00000196972	11	22	-11	-0.1793648982182587	0.45233968804159447	0.47623174052983414	-0.02389205248823966	Control	ENSG00000196972	0.14409507303788066	-0.24393763469412377	FALSE	21	SMIM10L2B	SMIM10L2B
ENSG00000177954	11	22	-11	-0.1793648982182587	0.45233968804159447	0.47623174052983414	-0.02389205248823966	Control	ENSG00000177954	0.14409507303788066	0.02553593829932765	FALSE	21	RPS27	RPS27
ENSG00000163462	11	22	-11	-0.1793648982182587	0.45233968804159447	0.47623174052983414	-0.02389205248823966	Control	ENSG00000163462	0.14409507303788066	-0.1241942226770032	FALSE	21	TRIM46	TRIM46
ENSG00000173548	30	47	-17	-0.2605711855764383	0.5963109680614014	0.620203020549641	-0.02389205248823966	Control	ENSG00000173548	0.14409507303788066	0.18785681607824145	FALSE	21	SNX33	SNX33
ENSG00000090372	11	22	-11	-0.1793648982182587	0.45233968804159447	0.47623174052983414	-0.02389205248823966	Control	ENSG00000090372	0.14409507303788066	-6.114141567152842e-4	FALSE	21	STRN4	STRN4
ENSG00000087095	433	461	-28	-0.4094493790664343	0.927828670462986	0.9515969299331518	-0.02376825947016592	Control	ENSG00000087095	0.14310472889329043	-0.1901155231851792	FALSE	21	NLK	NLK
ENSG00000126602	194	160	34	0.42968225696808854	0.8186432285219114	0.7948749690517455	0.02376825947016592	AD	ENSG00000126602	0.14310472889329043	-0.2320553060374575	FALSE	21	TRAP1	TRAP1
ENSG00000126705	39	59	-20	-0.3011743292555282	0.632087150284724	0.6558554097548899	-0.02376825947016592	Control	ENSG00000126705	0.14310472889329043	-0.01716320925823922	FALSE	21	AHDC1	AHDC1
ENSG00000110107	403	428	-25	-0.3688462353873445	0.9170586778905668	0.9407031443426592	-0.02364446645209217	Control	ENSG00000110107	0.14236197078484775	-0.1997151937714552	FALSE	21	PRPF19	PRPF19
ENSG00000168959	428	325	103	1.3635545615871545	0.9259717751918792	0.9023273087397872	0.02364446645209217	AD	ENSG00000168959	0.14236197078484775	-0.15181103331380363	FALSE	21	GRM5	GRM5
ENSG00000175582	580	657	-77	-1.0726340591582346	0.9670710571923744	0.9907155236444664	-0.02364446645209217	Control	ENSG00000175582	0.14236197078484775	-0.22154088358713508	FALSE	21	RAB6A	RAB6A
ENSG00000177614	384	407	-23	-0.34177747293461797	0.9092597177519188	0.9329041842040108	-0.02364446645209206	Control	ENSG00000177614	0.14186679871255262	-0.0907427203030764	FALSE	21	PGBD5	PGBD5
ENSG00000114770	6	13	-7	-0.12522737331280562	0.35528596187175043	0.37880663530576875	-0.02352067343401831	Control	ENSG00000114770	0.14149541965833126	-0.03771664007579467	FALSE	21	ABCC5	ABCC5
ENSG00000197122	6	13	-7	-0.12522737331280562	0.35528596187175043	0.37880663530576875	-0.02352067343401831	Control	ENSG00000197122	0.14149541965833126	-0.0849857012498827	FALSE	21	SRC	SRC
ENSG00000204116	540	402	138	1.837257904509869	0.9540727902946274	0.9306759098786828	0.02339688041594456	AD	ENSG00000204116	0.14050507551374103	-0.1541995800746001	FALSE	21	CHIC1	CHIC1
ENSG00000125846	8	13	-5	-0.09815861086007906	0.4022035157217133	0.37880663530576875	0.02339688041594456	Control	ENSG00000125846	0.14050507551374103	0.0221108074569063	FALSE	21	ZNF133	ZNF133
ENSG00000113100	8	13	-5	-0.09815861086007906	0.4022035157217133	0.37880663530576875	0.02339688041594456	Control	ENSG00000113100	0.14050507551374103	-0.2442749920162264	FALSE	21	CDH9	CDH9
ENSG00000070047	8	13	-5	-0.09815861086007906	0.4022035157217133	0.37880663530576875	0.02339688041594456	Control	ENSG00000070047	0.14050507551374103	9.372996959662316e-4	FALSE	21	PHRF1	PHRF1
ENSG00000136960	8	13	-5	-0.09815861086007906	0.4022035157217133	0.37880663530576875	0.02339688041594456	Control	ENSG00000136960	0.14050507551374103	0.09473734083861628	FALSE	21	ENPP2	ENPP2
ENSG00000104904	8	13	-5	-0.09815861086007906	0.4022035157217133	0.37880663530576875	0.02339688041594456	Control	ENSG00000104904	0.14050507551374103	-0.09505968153789011	FALSE	21	OAZ1	OAZ1
ENSG00000198815	98	90	8	0.07778834508264348	0.7394156969546918	0.716142609556821	0.02327308739787081	AD	ENSG00000198815	0.13963852438722457	-0.11430093744923477	FALSE	21	FOXJ3	FOXJ3
ENSG00000142937	18	24	-6	-0.11169299208644234	0.5199306759098787	0.4969051745481554	0.02302550136172326	Control	ENSG00000142937	0.139390938351077	-0.01599908935246041	FALSE	21	RPS8	RPS8
ENSG00000075415	312	250	62	0.8086449313062603	0.8838821490467937	0.8608566476850705	0.02302550136172321	AD	ENSG00000075415	0.1388957662787819	-0.22018555679782104	FALSE	21	SLC25A3	SLC25A3
ENSG00000143772	38	57	-19	-0.28763994802916487	0.6278781876702154	0.6509036890319386	-0.02302550136172321	Control	ENSG00000143772	0.1388957662787819	0.37757821990155627	FALSE	21	ITPKB	ITPKB
ENSG00000163110	64	66	-2	-0.057555467180989237	0.6934884872493191	0.6704629858875959	0.02302550136172321	Control	ENSG00000163110	0.1388957662787819	0.15795058856889987	FALSE	21	PDLIM5	PDLIM5
ENSG00000282164	447	470	-23	-0.34177747293461797	0.9314186679871256	0.9544441693488488	-0.0230255013617231	Control	ENSG00000282164	0.13840059420648676	-0.16511486158108646	FALSE	21	PEG13	PEG13
ENSG00000110675	583	658	-75	-1.045565296705508	0.968308987373112	0.9910869026986878	-0.02277791532557571	Control	ENSG00000110675	0.13790542213419163	-0.30127619208041345	FALSE	21	ELMOD1	ELMOD1
ENSG00000131808	26	32	-6	-0.11169299208644234	0.5757613270611538	0.5529834117355781	0.02277791532557571	Control	ENSG00000131808	0.13790542213419163	-0.01681029559914004	FALSE	21	FSHB	FSHB
ENSG00000140400	26	32	-6	-0.11169299208644234	0.5757613270611538	0.5529834117355781	0.02277791532557571	Control	ENSG00000140400	0.13790542213419163	0.02281986609045283	FALSE	21	MAN2C1	MAN2C1
ENSG00000040933	535	557	-22	-0.3282430917082547	0.9524634810596684	0.975241396385244	-0.0227779153255756	Control	ENSG00000040933	0.13728645704382272	-0.1327332084204187	FALSE	21	INPP4A	INPP4A
ENSG00000214376	116	103	13	0.14546025121445982	0.7579846496657588	0.7352067343401832	0.0227779153255756	AD	ENSG00000214376	0.13728645704382272	-0.1277602230301662	FALSE	21	VSTM5	VSTM5
ENSG00000108883	131	112	19	0.22666653857263944	0.7730873978707601	0.7504332755632582	0.02265412230750185	AD	ENSG00000108883	0.1369150779896014	-0.08557278772645027	FALSE	21	EFTUD2	EFTUD2
ENSG00000023330	79	107	-28	-0.4094493790664343	0.7186184699182966	0.7411487992077247	-0.0225303292894281	Control	ENSG00000023330	0.13666749195345382	-0.15892761628914087	FALSE	21	ALAS1	ALAS1
ENSG00000005339	15	27	-12	-0.192899279444622	0.4961624164397128	0.5183213666749196	-0.02215895023520675	Control	ENSG00000005339	0.1362961128992325	0.06921412124696147	FALSE	21	CREBBP	CREBBP
ENSG00000163513	15	27	-12	-0.192899279444622	0.4961624164397128	0.5183213666749196	-0.02215895023520675	Control	ENSG00000163513	0.1362961128992325	0.16729596904935207	FALSE	21	TGFBR2	TGFBR2
ENSG00000031081	104	126	-22	-0.3282430917082547	0.7449863827680119	0.7670215399851449	-0.022035157217133	Control	ENSG00000031081	0.13592473384501114	0.19132266546486143	FALSE	21	ARHGAP31	ARHGAP31
ENSG00000078328	498	371	127	1.6883797110198728	0.943550383758356	0.9215152265412232	0.02203515721713289	AD	ENSG00000078328	0.1355533547907898	-0.22636122211741316	FALSE	21	RBFOX1	RBFOX1
ENSG00000150995	198	225	-27	-0.39591499784007106	0.8219856400099035	0.8440207972270364	-0.02203515721713289	Control	ENSG00000150995	0.1355533547907898	-0.16713998115088555	FALSE	21	ITPR1	ITPR1
ENSG00000071553	468	488	-20	-0.3011743292555282	0.9359990096558554	0.9579103738549146	-0.02191136419905925	Control	ENSG00000071553	0.13518197573656845	-0.21728052838396472	FALSE	21	ATP6AP1	ATP6AP1
ENSG00000149091	52	73	-21	-0.3147087104818914	0.6666254023273087	0.6884129735082941	-0.0217875711809854	Control	ENSG00000149091	0.1349343897004209	-0.07953191666267223	FALSE	21	DGKZ	DGKZ
ENSG00000001497	13	20	-7	-0.12522737331280562	0.47660311958405543	0.4548155484030701	0.02178757118098534	Control	ENSG00000001497	0.13468680366427332	-0.02497073029490693	FALSE	21	LAS1L	LAS1L
ENSG00000248905	115	103	12	0.13192586998809655	0.7568705125030948	0.7352067343401832	0.02166377816291154	AD	ENSG00000248905	0.13443921762812577	-0.1274651850485995	FALSE	21	FMN1	FMN1
ENSG00000175175	668	501	167	2.229754960074404	0.983040356523892	0.961624164397128	0.02141619212676404	AD	ENSG00000175175	0.13406783857390442	-0.36531907112088824	FALSE	21	PPM1E	PPM1E
ENSG00000144357	136	165	-29	-0.4229837602927976	0.7775439465214162	0.7989601386481803	-0.02141619212676404	Control	ENSG00000144357	0.13406783857390442	-0.10040020958527762	FALSE	21	UBR3	UBR3
ENSG00000126432	55	58	-3	-0.07108984840735251	0.6744243624659569	0.6531319633572666	0.02129239910869029	Control	ENSG00000126432	0.1336964595196831	-0.13790725148377625	FALSE	21	PRDX5	PRDX5
ENSG00000137221	3	5	-2	-0.057555467180989237	0.2442436246595692	0.22295122555087893	0.02129239910869027	Control	ENSG00000137221	0.13159197821242882	0.15439275675032604	FALSE	21	TJAP1	TJAP1
ENSG00000261934	3	5	-2	-0.057555467180989237	0.2442436246595692	0.22295122555087893	0.02129239910869027	Control	ENSG00000261934	0.13159197821242882	-0.1937581821760608	FALSE	21	PCDHGA9	PCDHGA9
ENSG00000127418	3	5	-2	-0.057555467180989237	0.2442436246595692	0.22295122555087893	0.02129239910869027	Control	ENSG00000127418	0.13159197821242882	0.06776998266463252	FALSE	21	FGFRL1	FGFRL1
