gene	AD	CTL
ENSG00000085415	528	572
ENSG00000019505	354	317
ENSG00000164332	408	326
ENSG00000152503	169	70
ENSG00000113558	525	477
ENSG00000180488	464	332
ENSG00000091513	25	23
ENSG00000068615	282	314
ENSG00000159352	484	530
ENSG00000127445	525	412
ENSG00000047315	524	505
ENSG00000181754	516	440
ENSG00000143436	371	307
ENSG00000116120	282	172
ENSG00000055163	501	427
ENSG00000132507	361	219
ENSG00000144021	343	157
ENSG00000143727	615	591
ENSG00000164405	101	108
ENSG00000124785	324	250
ENSG00000084234	473	342
ENSG00000143155	485	482
ENSG00000174514	167	51
ENSG00000040933	330	434
ENSG00000155744	63	45
ENSG00000167755	19	16
ENSG00000136854	387	315
ENSG00000198689	586	480
ENSG00000084093	128	135
ENSG00000139973	210	204
ENSG00000107874	313	404
ENSG00000108309	268	199
ENSG00000178502	646	444
ENSG00000151500	436	209
ENSG00000143013	272	286
ENSG00000073464	326	485
ENSG00000134590	701	630
ENSG00000103591	659	570
ENSG00000054356	230	187
ENSG00000203930	7	4
ENSG00000084623	333	90
ENSG00000091483	220	96
ENSG00000125037	353	259
ENSG00000187189	511	581
ENSG00000164885	466	504
ENSG00000134265	681	644
ENSG00000156642	509	495
ENSG00000183258	505	464
ENSG00000124733	260	281
ENSG00000147676	204	198
ENSG00000185591	73	91
ENSG00000072832	351	407
ENSG00000177570	189	118
ENSG00000075340	169	202
ENSG00000172757	420	350
ENSG00000146223	578	411
ENSG00000103035	577	613
ENSG00000077549	341	211
ENSG00000134744	60	215
ENSG00000100519	363	342
ENSG00000198121	11	7
ENSG00000159658	133	131
ENSG00000164190	140	187
ENSG00000173915	247	239
ENSG00000205629	615	696
ENSG00000111652	501	630
ENSG00000138279	246	81
ENSG00000167792	407	385
ENSG00000178741	281	207
ENSG00000100216	327	429
ENSG00000137547	398	174
ENSG00000125827	436	339
ENSG00000165868	250	323
ENSG00000041353	56	33
ENSG00000100934	652	623
ENSG00000070961	213	377
ENSG00000080822	17	19
ENSG00000197959	441	211
ENSG00000239911	152	160
ENSG00000196072	467	597
ENSG00000170606	13	12
ENSG00000100167	411	244
ENSG00000166780	376	222
ENSG00000138071	369	224
ENSG00000172260	155	196
ENSG00000149428	376	136
ENSG00000101557	561	434
ENSG00000182901	256	198
ENSG00000161021	76	120
ENSG00000133703	437	556
ENSG00000106367	392	463
ENSG00000163001	461	543
ENSG00000145293	433	458
ENSG00000164951	320	176
ENSG00000168159	555	539
ENSG00000166167	390	296
ENSG00000204655	33	37
ENSG00000117410	437	483
ENSG00000123178	422	239
ENSG00000146414	99	196
ENSG00000129055	491	450
ENSG00000196230	14	11
ENSG00000067829	576	656
ENSG00000120727	419	552
ENSG00000137040	386	355
ENSG00000197860	352	248
ENSG00000072609	148	155
ENSG00000116005	282	387
ENSG00000115073	275	274
ENSG00000204590	394	568
ENSG00000111912	348	157
ENSG00000132718	383	358
ENSG00000174469	62	96
ENSG00000112514	342	427
ENSG00000196876	49	63
ENSG00000111110	211	298
ENSG00000187601	431	392
ENSG00000047597	347	303
ENSG00000253719	535	536
ENSG00000143158	550	515
ENSG00000134375	487	433
ENSG00000126067	322	228
ENSG00000174684	357	335
ENSG00000164124	19	21
ENSG00000004534	60	73
ENSG00000133059	200	61
ENSG00000172292	266	385
ENSG00000106105	472	411
ENSG00000116030	422	521
ENSG00000239306	13	12
ENSG00000115216	488	544
ENSG00000047056	254	86
ENSG00000130540	329	389
ENSG00000160714	407	674
ENSG00000116106	260	304
ENSG00000124782	140	108
ENSG00000177301	31	28
ENSG00000108953	414	370
ENSG00000137100	396	419
ENSG00000157470	245	70
ENSG00000162377	422	342
ENSG00000067225	478	447
ENSG00000162729	392	228
ENSG00000112640	497	683
ENSG00000165629	223	197
ENSG00000166922	108	121
ENSG00000099365	273	231
ENSG00000181555	23	44
ENSG00000108797	355	385
ENSG00000215712	372	406
ENSG00000114857	86	119
ENSG00000116138	430	192
ENSG00000168092	390	384
ENSG00000156735	419	355
ENSG00000104888	147	78
ENSG00000133019	94	93
ENSG00000118733	116	126
ENSG00000003756	111	117
ENSG00000135540	44	76
ENSG00000008869	299	400
ENSG00000166181	464	498
ENSG00000166411	355	419
ENSG00000156411	424	504
ENSG00000116288	179	200
ENSG00000286214	141	91
ENSG00000137996	442	391
ENSG00000112695	144	110
ENSG00000133627	236	311
ENSG00000265354	481	281
ENSG00000157152	48	25
ENSG00000162706	126	46
ENSG00000198794	181	217
ENSG00000119414	111	15
ENSG00000116459	271	88
ENSG00000099901	486	329
ENSG00000155324	48	98
ENSG00000086504	431	265
ENSG00000110514	138	142
ENSG00000170775	18	23
ENSG00000128656	186	21
ENSG00000165572	451	344
ENSG00000251474	74	164
ENSG00000142230	621	803
ENSG00000107223	403	231
ENSG00000102978	389	366
ENSG00000135164	132	220
ENSG00000148606	413	248
ENSG00000185946	77	94
ENSG00000115234	376	248
ENSG00000174238	573	483
ENSG00000131174	524	445
ENSG00000146731	203	245
ENSG00000153922	38	73
ENSG00000165916	252	421
ENSG00000177181	30	40
ENSG00000108094	572	613
ENSG00000196935	74	85
ENSG00000108946	377	335
ENSG00000152932	96	120
ENSG00000081189	252	33
ENSG00000109738	259	267
ENSG00000106682	382	340
ENSG00000114166	108	160
ENSG00000067900	193	210
ENSG00000144285	10	26
ENSG00000120063	85	139
ENSG00000109920	59	47
ENSG00000138095	393	206
ENSG00000078902	457	440
ENSG00000118680	254	151
ENSG00000110048	280	270
ENSG00000260804	359	323
ENSG00000102934	14	11
ENSG00000198763	10	6
ENSG00000065548	426	339
ENSG00000138078	182	181
ENSG00000169641	15	7
ENSG00000008277	94	89
ENSG00000184384	135	167
ENSG00000136950	501	577
ENSG00000113312	388	459
ENSG00000101210	427	385
ENSG00000075790	421	277
ENSG00000197324	103	103
ENSG00000185721	544	503
ENSG00000072062	398	581
ENSG00000164919	191	228
ENSG00000108344	441	350
