gene	AD	CTL
ENSG00000181163	57	NA
ENSG00000165102	236	29
ENSG00000162616	128	26
ENSG00000279412	119	117
ENSG00000259125	172	152
ENSG00000142959	346	126
ENSG00000228801	552	12
ENSG00000080561	106	353
ENSG00000116353	365	95
ENSG00000267169	168	100
ENSG00000162511	36	67
ENSG00000260490	450	7
ENSG00000138613	85	4
ENSG00000050426	423	40
ENSG00000141551	95	7
ENSG00000267098	128	139
ENSG00000275835	500	147
ENSG00000148634	289	343
ENSG00000259488	564	25
ENSG00000080189	472	NA
ENSG00000146054	1	NA
ENSG00000184436	343	46
ENSG00000204839	12	28
ENSG00000113387	32	6
ENSG00000163626	378	19
ENSG00000213190	28	60
ENSG00000249852	105	103
ENSG00000245156	412	3
ENSG00000287356	185	4
ENSG00000100889	232	13
ENSG00000131469	81	40
ENSG00000224411	87	2
ENSG00000187954	398	25
ENSG00000273487	139	89
ENSG00000214694	84	54
ENSG00000221843	123	177
ENSG00000170473	155	20
ENSG00000136167	104	35
ENSG00000151876	431	24
ENSG00000277734	90	166
ENSG00000147475	27	20
ENSG00000101438	173	286
ENSG00000067221	308	39
ENSG00000122678	354	3
ENSG00000090615	403	32
ENSG00000177463	64	242
ENSG00000158615	116	15
ENSG00000231362	113	38
ENSG00000143314	122	NA
ENSG00000147604	62	NA
ENSG00000158710	14	13
ENSG00000224525	102	41
ENSG00000114942	55	NA
ENSG00000253767	74	7
ENSG00000145425	35	3
ENSG00000159592	220	69
ENSG00000069849	139	12
ENSG00000286064	60	NA
ENSG00000168101	224	1
ENSG00000176261	107	61
ENSG00000231304	360	1
ENSG00000179562	11	37
ENSG00000170214	62	120
ENSG00000152784	68	138
ENSG00000115415	269	12
ENSG00000167113	343	13
ENSG00000154065	140	53
ENSG00000250366	62	115
ENSG00000173120	45	21
ENSG00000176753	483	30
ENSG00000006015	531	14
ENSG00000181754	56	550
ENSG00000243232	53	502
ENSG00000170500	64	164
ENSG00000044574	25	5
ENSG00000158882	155	257
ENSG00000137693	112	178
ENSG00000279196	307	154
ENSG00000115884	113	63
ENSG00000115419	148	4
ENSG00000120907	35	103
ENSG00000127588	109	112
ENSG00000231057	6	3
ENSG00000104447	122	201
ENSG00000148158	75	177
ENSG00000135049	363	34
ENSG00000089157	94	10
ENSG00000266711	106	180
ENSG00000135913	87	276
ENSG00000244968	356	1
ENSG00000108298	75	45
ENSG00000274290	122	NA
ENSG00000232931	67	9
ENSG00000251095	311	NA
ENSG00000277283	446	28
ENSG00000163050	170	10
ENSG00000082898	228	5
ENSG00000182810	147	190
ENSG00000031081	82	173
ENSG00000287866	193	155
ENSG00000196199	286	51
ENSG00000138036	190	28
ENSG00000072954	116	52
ENSG00000005889	4	13
ENSG00000175497	74	60
ENSG00000241014	371	2
ENSG00000245556	484	2
ENSG00000114391	38	109
ENSG00000286871	49	37
ENSG00000104381	398	22
ENSG00000134283	220	NA
ENSG00000160172	439	1
ENSG00000180525	190	204
ENSG00000122548	268	3
ENSG00000107651	218	9
ENSG00000117480	279	NA
ENSG00000134294	152	10
ENSG00000177272	72	118
ENSG00000111711	26	1
ENSG00000214226	287	12
ENSG00000196482	65	163
ENSG00000134575	375	41
ENSG00000198146	120	362
ENSG00000226696	363	1
ENSG00000285410	272	17
ENSG00000196177	251	34
ENSG00000287623	151	18
ENSG00000125952	175	107
ENSG00000198198	40	97
ENSG00000137200	360	8
ENSG00000136404	106	146
ENSG00000126432	50	39
ENSG00000222046	34	32
ENSG00000077232	312	20
ENSG00000163214	172	NA
ENSG00000278737	113	234
ENSG00000163257	334	7
ENSG00000109436	79	258
ENSG00000099290	57	45
ENSG00000134569	87	98
ENSG00000132963	32	43
ENSG00000267940	77	216
ENSG00000171617	62	162
ENSG00000152661	75	99
ENSG00000129071	285	18
ENSG00000138696	110	200
ENSG00000123349	75	65
ENSG00000168016	309	1
ENSG00000233602	120	53
ENSG00000015520	235	19
ENSG00000112335	45	1
ENSG00000260992	267	11
ENSG00000145725	229	NA
ENSG00000174145	95	181
ENSG00000171132	79	281
ENSG00000091482	151	142
ENSG00000115657	224	6
ENSG00000140548	223	NA
ENSG00000173421	196	33
ENSG00000141552	14	60
ENSG00000273151	232	8
ENSG00000121892	281	17
ENSG00000016402	82	39
ENSG00000143702	54	21
ENSG00000137040	215	13
ENSG00000273472	78	214
ENSG00000205100	21	NA
ENSG00000163714	104	1
ENSG00000203709	76	4
ENSG00000152359	254	1
ENSG00000274356	253	1
ENSG00000118246	292	4
ENSG00000167778	179	305
ENSG00000255585	40	38
ENSG00000173083	85	64
ENSG00000019582	32	63
ENSG00000165915	321	2
ENSG00000277301	138	60
ENSG00000227929	163	98
ENSG00000172382	334	41
ENSG00000132382	429	139
ENSG00000232057	66	37
ENSG00000236814	187	41
