gene	AD	CTL	delta	z_change	perc_AD	perc_CTL	delta_perc	HigherNetwork
ENSG00000143614	3	9	-6	-0.029103918925814407	0.198711302029329	0.369352688490594	-0.170641386461265	Control
ENSG00000170743	15	92	-77	-0.637615130417212	0.49481558287661087	0.8192119685972449	-0.324396385720634	Control
ENSG00000152782	6	16	-10	-0.06338624069997766	0.3161753814249741	0.483113612798104	-0.1669382313731299	Control
ENSG00000004961	34	129	-95	-0.7918855784009465	0.6717523329877055	0.8772774403792031	-0.20552510739149754	Control
ENSG00000004700	14	230	-216	-1.8289258120693845	0.4802992149311213	0.9540808769071248	-0.4737816619760035	Control
ENSG00000133985	10	97	-87	-0.7233209348526201	0.40986520515479186	0.8256554584506	-0.4157902532958081	Control
ENSG00000110042	11	9	2	0.03946072462251207	0.42904754851133164	0.369352688490594	0.05969486002073765	AD
ENSG00000280067	1	4	-3	-0.0033921775951919757	0.05154791882684047	0.23063249888905346	-0.179084580062213	Control
ENSG00000175970	1	11	-10	-0.06338624069997766	0.05154791882684047	0.4061620500666568	-0.35461413123981633	Control
ENSG00000227365	4	115	-111	-0.9290148654975995	0.247148570582136	0.8577247815138498	-0.6105762109317138	Control
ENSG00000279020	33	20	13	0.13373710950146098	0.6659754110502147	0.5259961487187084	0.13997926233150637	AD
ENSG00000215712	5	7	-2	0.005178402848348834	0.2853651310916901	0.325877647755888	-0.04051251666419792	Control
ENSG00000171603	7	11	-4	-0.011962758038732786	0.3431343504665975	0.4061620500666568	-0.06302769960005927	Control
ENSG00000076928	2	34	-32	-0.2519390104578755	0.13746111687157458	0.6270922826247963	-0.48963116575322174	Control
ENSG00000270012	93	7	86	0.7593894818799402	0.857428529106799	0.325877647755888	0.531550881350911	AD
ENSG00000147905	1	53	-52	-0.42335061932869167	0.05154791882684047	0.716338320248852	-0.6647904014220115	Control
ENSG00000287917	6	15	-9	-0.05481566025643684	0.3161753814249741	0.4688934972596652	-0.15271811583469114	Control
ENSG00000092201	2	13	-11	-0.07195682114351847	0.13746111687157458	0.44134202340394013	-0.30388090653236555	Control
ENSG00000119950	2	51	-49	-0.39763887799806924	0.13746111687157458	0.7089320100725819	-0.5714708932010073	Control
ENSG00000269837	80	4	76	0.6736836774445321	0.833580210339209	0.23063249888905346	0.6029477114501556	AD
ENSG00000242372	12	16	-4	-0.011962758038732786	0.4472670715449563	0.483113612798104	-0.03584654125314768	Control
ENSG00000118473	5	1	4	0.05660188550959369	0.2853651310916901	0.05058509850392535	0.23478003258776475	AD
ENSG00000145623	5	15	-10	-0.06338624069997766	0.2853651310916901	0.4688934972596652	-0.18352836616797513	Control
ENSG00000145868	2	4	-2	0.005178402848348834	0.13746111687157458	0.23063249888905346	-0.09317138201747888	Control
ENSG00000157514	19	12	7	0.08231362684021612	0.5460672492964005	0.4249740779143831	0.12109317138201742	AD
ENSG00000138002	1	7	-6	-0.029103918925814407	0.05154791882684047	0.325877647755888	-0.27432972892904756	Control
ENSG00000161013	5	2	3	0.04803130506605288	0.2853651310916901	0.13175825803584654	0.15360687305584356	AD
ENSG00000224546	4	82	-78	-0.6461857108607527	0.247148570582136	0.7999555621389424	-0.5528069915568063	Control
ENSG00000159423	9	23	-14	-0.0976685624741409	0.38749814842245595	0.553399496370908	-0.16590134794845207	Control
ENSG00000138336	2	35	-33	-0.2605095909014163	0.13746111687157458	0.6336838986816767	-0.49622278181010215	Control
ENSG00000149735	7	6	1	0.030890144178971263	0.3431343504665975	0.2975114797807732	0.045622870685824324	AD
ENSG00000150471	1	35	-34	-0.2690801713449571	0.05154791882684047	0.6336838986816767	-0.5821359798548362	Control
ENSG00000273702	30	2	28	0.26229581615457315	0.6459783735742853	0.13175825803584654	0.5142201155384388	AD
ENSG00000256087	2	71	-69	-0.5690504868688855	0.13746111687157458	0.7715893941638275	-0.634128277292253	Control
ENSG00000138642	2	7	-5	-0.020533338482273594	0.13746111687157458	0.325877647755888	-0.18841653088431343	Control
ENSG00000279179	3	9	-6	-0.029103918925814407	0.198711302029329	0.369352688490594	-0.170641386461265	Control
ENSG00000132470	22	20	2	0.03946072462251207	0.5797659605984299	0.5259961487187084	0.05376981187972152	AD
ENSG00000100028	9	128	-119	-0.997579509045926	0.38749814842245595	0.8755739890386609	-0.48807584061620496	Control
ENSG00000132975	4	179	-175	-1.4775320138842114	0.247148570582136	0.9265294030513997	-0.6793808324692637	Control
ENSG00000225791	3	2	1	0.030890144178971263	0.198711302029329	0.13175825803584654	0.06695304399348245	AD
ENSG00000129450	1	4	-3	-0.0033921775951919757	0.05154791882684047	0.23063249888905346	-0.179084580062213	Control
ENSG00000174606	2	1	1	0.030890144178971263	0.13746111687157458	0.05058509850392535	0.08687601836764924	AD
ENSG00000164398	3	43	-40	-0.32050365400620195	0.198711302029329	0.6762701821952304	-0.4775588801659014	Control
ENSG00000263990	14	2	12	0.12516652905792017	0.4802992149311213	0.13175825803584654	0.34854095689527476	AD
ENSG00000137221	6	37	-31	-0.24336843001433467	0.3161753814249741	0.6453858687601837	-0.3292104873352096	Control
ENSG00000119650	7	100	-93	-0.7747444175138649	0.3431343504665975	0.8320989483039549	-0.4889645978373574	Control
ENSG00000234979	53	87	-34	-0.2690801713449571	0.7601096133906088	0.8095837653680936	-0.04947415197748484	Control
ENSG00000276250	3	377	-374	-3.1830775221488325	0.198711302029329	0.9887424085320693	-0.7900311065027403	Control
ENSG00000280120	3	291	-288	-2.446007604004323	0.198711302029329	0.9745222929936306	-0.7758109909643016	Control
ENSG00000137767	9	6	3	0.04803130506605288	0.38749814842245595	0.2975114797807732	0.08998666864168275	AD
ENSG00000179041	1	170	-169	-1.4261085312229664	0.05154791882684047	0.9200118500962821	-0.8684639312694415	Control
ENSG00000182512	9	5	4	0.05660188550959369	0.38749814842245595	0.266775292549252	0.12072285587320397	AD
ENSG00000163156	2	25	-23	-0.1748037864660082	0.13746111687157458	0.5687305584357872	-0.43126944156421265	Control
