gene	AD	CTL	delta	z_change	perc_AD	perc_CTL	delta_perc	HigherNetwork
ENSG00000180879	1	2	-1	-0.04402108595462597	0.07279029462738301	0.10497647932656598	-0.03218618469918297	Control
ENSG00000140403	4	7	-3	-0.07108984840735251	0.2896756622926467	0.2742015350334241	0.015474127259222592	Control
ENSG00000099960	8	27	-19	-0.28763994802916487	0.4022035157217133	0.5183213666749196	-0.11611785095320626	Control
ENSG00000110958	1	5	-4	-0.08462422963371578	0.07279029462738301	0.22295122555087893	-0.15016093092349592	Control
ENSG00000171703	10	36	-26	-0.38238061661370776	0.437360732854667	0.5753899480069324	-0.13802921515226546	Control
ENSG00000105221	2	11	-9	-0.15229613576553216	0.18209952958653133	0.35070562020302054	-0.1686060906164892	Control
ENSG00000101558	2	4	-2	-0.057555467180989243	0.18209952958653133	0.19076504085169596	-0.008665511265164627	Control
ENSG00000158352	4	1	3	0.010116438950827119	0.2896756622926467	0.03986135181975736	0.24981431047288932	AD
ENSG00000171401	4	32	-28	-0.4094493790664343	0.2896756622926467	0.5529834117355781	-0.2633077494429314	Control
ENSG00000087152	2	8	-6	-0.11169299208644234	0.18209952958653133	0.2948749690517455	-0.11277543946521415	Control
ENSG00000197122	6	13	-7	-0.12522737331280562	0.35528596187175043	0.37880663530576875	-0.023520673434018313	Control
ENSG00000108798	1	42	-41	-0.5853963350091568	0.07279029462738301	0.5996533795493935	-0.5268630849220104	Control
ENSG00000210195	2	1	1	-0.016952323501899427	0.18209952958653133	0.03986135181975736	0.14223817776677397	AD
ENSG00000113851	1	2	-1	-0.04402108595462597	0.07279029462738301	0.10497647932656598	-0.03218618469918297	Control
ENSG00000071564	5	11	-6	-0.11169299208644234	0.3247090864075266	0.35070562020302054	-0.025996533795493937	Control
ENSG00000079432	8	24	-16	-0.24703680435007505	0.4022035157217133	0.49690517454815547	-0.09470165882644216	Control
ENSG00000129538	1	6	-5	-0.09815861086007906	0.07279029462738301	0.25043327556325823	-0.17764298093587522	Control
ENSG00000182902	4	3	1	-0.016952323501899427	0.2896756622926467	0.15139886110423373	0.13827680118841296	AD
ENSG00000033327	3	3	0	-0.030486704728262697	0.2442436246595692	0.15139886110423373	0.09284476355533547	Control
ENSG00000107833	2	10	-8	-0.1387617545391689	0.18209952958653133	0.33473632087150285	-0.1526367912849715	Control
ENSG00000173193	2	3	-1	-0.04402108595462597	0.18209952958653133	0.15139886110423373	0.030700668482297605	Control
ENSG00000175899	1	1	0	-0.030486704728262697	0.07279029462738301	0.03986135181975736	0.03292894280762565	Control
ENSG00000136436	9	6	3	0.010116438950827119	0.4207724684327804	0.25043327556325823	0.17033919286952215	AD
ENSG00000173926	1	1	0	-0.030486704728262697	0.07279029462738301	0.03986135181975736	0.03292894280762565	Control
ENSG00000179134	5	6	-1	-0.04402108595462597	0.3247090864075266	0.25043327556325823	0.07427581084426838	Control
ENSG00000072778	3	3	0	-0.030486704728262697	0.2442436246595692	0.15139886110423373	0.09284476355533547	Control
ENSG00000005810	2	29	-27	-0.39591499784007106	0.18209952958653133	0.5324337707353305	-0.3503342411487992	Control
ENSG00000185246	3	1	2	-0.0034179422755361536	0.2442436246595692	0.03986135181975736	0.20438227283981183	AD
ENSG00000160182	5	42	-37	-0.5312588101037037	0.3247090864075266	0.5996533795493935	-0.27494429314186686	Control
ENSG00000171766	2	14	-12	-0.19289927944462198	0.18209952958653133	0.3932904184204011	-0.21119088883386974	Control
ENSG00000287243	3	1	2	-0.0034179422755361536	0.2442436246595692	0.03986135181975736	0.20438227283981183	AD
ENSG00000219438	6	1	5	0.037185201403553664	0.35528596187175043	0.03986135181975736	0.31542461005199307	AD
ENSG00000179292	1	11	-10	-0.16583051699189544	0.07279029462738301	0.35070562020302054	-0.27791532557563753	Control
ENSG00000096384	1	2	-1	-0.04402108595462597	0.07279029462738301	0.10497647932656598	-0.03218618469918297	Control
ENSG00000108106	12	125	-113	-1.5598717833073124	0.46595692002971034	0.7652884377321119	-0.2993315177024015	Control
ENSG00000198732	1	1	0	-0.030486704728262697	0.07279029462738301	0.03986135181975736	0.03292894280762565	Control
ENSG00000131873	1	2	-1	-0.04402108595462597	0.07279029462738301	0.10497647932656598	-0.03218618469918297	Control
ENSG00000129353	3	6	-3	-0.07108984840735251	0.2442436246595692	0.25043327556325823	-0.006189650903689031	Control
ENSG00000227248	1	7	-6	-0.11169299208644234	0.07279029462738301	0.2742015350334241	-0.20141124040604108	Control
ENSG00000144724	1	1	0	-0.030486704728262697	0.07279029462738301	0.03986135181975736	0.03292894280762565	Control
ENSG00000203616	1	1	0	-0.030486704728262697	0.07279029462738301	0.03986135181975736	0.03292894280762565	Control
ENSG00000126603	2	6	-4	-0.08462422963371578	0.18209952958653133	0.25043327556325823	-0.0683337459767269	Control
ENSG00000184271	2	60	-58	-0.8154808158573325	0.18209952958653133	0.6582074770982916	-0.47610794751176033	Control
ENSG00000109113	1	1	0	-0.030486704728262697	0.07279029462738301	0.03986135181975736	0.03292894280762565	Control
ENSG00000227640	3	3	0	-0.030486704728262697	0.2442436246595692	0.15139886110423373	0.09284476355533547	Control
ENSG00000176014	2	14	-12	-0.19289927944462198	0.18209952958653133	0.3932904184204011	-0.21119088883386974	Control
ENSG00000135387	1	30	-29	-0.4229837602927976	0.07279029462738301	0.5396137657836098	-0.46682347115622674	Control
ENSG00000074696	2	2	0	-0.030486704728262697	0.18209952958653133	0.10497647932656598	0.07712305025996535	Control
ENSG00000161671	1	1	0	-0.030486704728262697	0.07279029462738301	0.03986135181975736	0.03292894280762565	Control
ENSG00000225783	3	10	-7	-0.12522737331280562	0.2442436246595692	0.33473632087150285	-0.09049269621193365	Control
ENSG00000013619	6	12	-6	-0.11169299208644234	0.35528596187175043	0.36568457538994803	-0.010398613518197597	Control
ENSG00000183255	3	36	-33	-0.47712128519825064	0.2442436246595692	0.5753899480069324	-0.33114632334736327	Control
ENSG00000122254	1	1	0	-0.030486704728262697	0.07279029462738301	0.03986135181975736	0.03292894280762565	Control
