gene	AD	CTL	delta	z_change	perc_AD	perc_CTL	delta_perc	HigherNetwork
ENSG00000136928	800	608	192	1.3119569307796566	0.9869895916733387	0.9651721377101682	0.021817453963170474	AD
ENSG00000178662	792	436	356	2.4950915306202024	0.9849879903923139	0.8965172137710168	0.0884707766212971	AD
ENSG00000186462	778	660	118	0.7781035137784346	0.9819855884707767	0.978382706164932	0.0036028823058447124	AD
ENSG00000078053	575	581	-6	-0.11646167146685603	0.9175340272217775	0.9539631705364291	-0.036429143314651635	Control
ENSG00000151090	513	166	347	2.43016341233627	0.8909127301841473	0.6979583666933546	0.19295436349079265	AD
ENSG00000240694	572	756	-184	-1.400595566415741	0.9155324259407526	0.9939951961569256	-0.07846277021617298	Control
ENSG00000171617	758	698	60	0.3596778626153148	0.9755804643714971	0.9875900720576462	-0.012009607686149004	AD
ENSG00000163032	664	397	267	1.8530245831457597	0.950160128102482	0.8730984787830264	0.07706164931945558	AD
ENSG00000139200	657	310	347	2.43016341233627	0.9463570856685348	0.8196557245796637	0.1267013610888711	AD
ENSG00000176788	779	454	325	2.2714502343088796	0.9823859087269816	0.90612489991993594	0.07626100880704567	AD
ENSG00000132872	720	607	113	0.7420323369540277	0.966373098478783	0.9647718174539631	0.0016012810248199338	AD
ENSG00000172915	492	233	259	1.7953107002267088	0.8781024819855885	0.7650120096076861	0.11309047237790237	AD
ENSG00000164951	729	504	225	1.550026697820742	0.9689751801441153	0.922738190552442	0.04623698959167333	AD
ENSG00000159082	766	594	172	1.167672223482029	0.978382706164932	0.9595676541232986	0.018815052041633362	AD
ENSG00000149269	789	682	107	0.6987469247647394	0.9839871897518014	0.9845876701361089	-6.004803843074891e-4	AD
ENSG00000170027	770	665	105	0.6843184540349767	0.9799839871897518	0.9799839871897518	0	AD
ENSG00000172260	751	265	486	3.432942128054781	0.9735788630904724	0.7874299439551641	0.1861489191353083	AD
ENSG00000138078	766	359	407	2.863017534229152	0.978382706164932	0.8512810248198559	0.12710168134507605	AD
ENSG00000170500	658	348	310	2.163236703835659	0.9473578863090473	0.8416733386709367	0.10568454763811053	AD
ENSG00000075945	647	349	298	2.0766658794570825	0.9417534027221778	0.8428742994395516	0.09887910328262617	AD
ENSG00000106537	579	200	379	2.661018944012474	0.9191353082465973	0.7309847878302642	0.18815052041633307	AD
ENSG00000104435	762	396	366	2.567233884269016	0.9763811048839072	0.8722978382706165	0.1040832666132907	AD
ENSG00000171132	672	549	123	0.8141746906028414	0.9531625300240192	0.9417534027221778	0.011409127301841404	AD
ENSG00000170579	823	781	42	0.22982162604745002	0.9915932746196957	0.9967974379503602	-0.005204163330664535	AD
ENSG00000014641	704	493	211	1.4490274027124026	0.9619695756605284	0.9193354683746997	0.042634107285828726	AD
ENSG00000213760	546	622	-76	-0.6214581470085524	0.905724579663731	0.9679743795036029	-0.06224979983987189	Control
ENSG00000144834	541	345	196	1.340813872239182	0.9029223378702962	0.8404723779023219	0.06244995996797431	AD
ENSG00000147416	658	337	321	2.242593292849354	0.9473578863090473	0.8350680544435548	0.11228983186549246	AD
ENSG00000204071	685	444	241	1.665454463658844	0.955564451561249	0.9005204163330665	0.055044035228182575	AD
ENSG00000139182	801	766	35	0.1793219784932804	0.9875900720576462	0.9951961569255404	-0.007606084867894269	AD
ENSG00000183023	515	220	295	2.0550231733624384	0.8919135308246597	0.7538030424339471	0.1381104883907126	AD
ENSG00000166111	737	562	175	1.1893149295766732	0.9713771016813451	0.9481585268214572	0.023218574859887875	AD
ENSG00000058091	844	584	260	1.80252493559159	0.9957966373098479	0.9565652522017614	0.03923138510808655	AD
ENSG00000109158	737	562	175	1.1893149295766732	0.9713771016813451	0.9481585268214572	0.023218574859887875	AD
ENSG00000129625	688	580	108	0.7059611601296208	0.9567654123298639	0.9533626901521217	0.003402722177742179	AD
ENSG00000114948	661	318	343	2.401306470876744	0.9487590072057646	0.8238590872698158	0.12489991993594873	AD
ENSG00000111490	629	355	274	1.9035242306999294	0.933546837469976	0.8472778222578062	0.08626901521216979	AD
ENSG00000198689	867	290	577	4.089437546258986	0.9981985588470776	0.80564451561249	0.1925540432345877	AD
ENSG00000123360	603	330	273	1.896309995335048	0.9253402722177743	0.8318654923939152	0.0934747798238591	AD
ENSG00000145526	774	545	229	1.5788836392802674	0.9807846277021617	0.9411529223378703	0.03963170536429139	AD
ENSG00000151948	674	711	-37	-0.34010296777817867	0.9539631705364291	0.9895916733386709	-0.035628502802241835	Control
ENSG00000118276	708	426	282	1.9612381136189803	0.9635708566853483	0.8919135308246597	0.07165732586068851	AD
ENSG00000155970	639	241	398	2.79808941594522	0.9373498799039232	0.7712169735788631	0.16613290632506006	AD
ENSG00000110675	772	753	19	0.06389421265517836	0.9803843074459567	0.9935948759007206	-0.013210568454763871	AD
ENSG00000099365	735	524	211	1.4490274027124026	0.9703763010408326	0.9309447558046438	0.03943154523618886	AD
ENSG00000136750	65	155	-90	-0.7224574421168917	0.5952762209767815	0.6811449159327462	-0.08586869495596472	Control
ENSG00000185924	651	273	378	2.6538047086475927	0.9437550040032026	0.7938350680544436	0.14991993594875896	AD
ENSG00000145087	718	559	159	1.0738871637385712	0.9655724579663731	0.9465572457966374	0.019015212169735785	AD
ENSG00000118402	648	561	87	0.5544622174671119	0.9425540432345877	0.9475580464371497	-0.005004003202562002	AD
ENSG00000165985	527	213	314	2.1920936452951842	0.8961168935148118	0.7479983987189752	0.1481184947958366	AD
ENSG00000164076	596	560	36	0.18653621385816177	0.9239391513210569	0.9471577261809447	-0.023218574859887875	AD
ENSG00000070159	687	555	132	0.8791028088867738	0.9563650920736589	0.94435548438751	0.012009607686148893	AD
ENSG00000085365	662	689	-27	-0.26796061412936495	0.9495596477181746	0.9859887910328262	-0.036429143314651635	Control
ENSG00000176749	702	671	31	0.15046503703375488	0.9615692554043235	0.9817854283426741	-0.02021617293835065	AD
ENSG00000002746	729	584	145	0.9728878686302318	0.9689751801441153	0.9565652522017614	0.01240992794235396	AD
ENSG00000177432	603	484	119	0.785317749143316	0.9253402722177743	0.9175340272217775	0.007806244995996803	AD
ENSG00000184515	475	532	-57	-0.48438767507580627	0.8668935148118495	0.9345476381104884	-0.06765412329863885	Control
ENSG00000091972	610	402	208	1.4273846966177586	0.9279423538831065	0.8761008807045636	0.05184147317854293	AD
ENSG00000233705	644	388	256	1.7736679941320646	0.9407526020816653	0.8676941553242594	0.07305844675740591	AD
ENSG00000137726	566	202	364	2.5528054135392533	0.9129303442754203	0.7351881505204163	0.177742193755004	AD
ENSG00000169116	575	671	-96	-0.7657428543061799	0.9175340272217775	0.9817854283426741	-0.06425140112089667	Control
ENSG00000110786	584	483	101	0.6554615125754512	0.9207365892714171	0.9171337069655725	0.0036028823058446013	AD
ENSG00000177511	811	341	470	3.317514362216679	0.9899919935948759	0.8382706164931946	0.15172137710168132	AD
ENSG00000166257	465	203	262	1.8169534063213528	0.8594875900720577	0.7375900720576462	0.12189751801441151	AD
ENSG00000106976	765	531	234	1.6149548161046743	0.9773819055244195	0.9337469975980784	0.04363490792634106	AD
ENSG00000107518	577	613	-36	-0.3328887324132973	0.9183346677341874	0.966373098478783	-0.048038430744595684	Control
ENSG00000167770	388	413	-25	-0.25353214339960217	0.8230584467574059	0.8849079263410728	-0.06184947958366693	Control
ENSG00000166922	661	340	321	2.242593292849354	0.9487590072057646	0.8374699759807847	0.1112890312249799	AD
ENSG00000077264	719	372	347	2.43016341233627	0.9659727782225781	0.8588871096877502	0.10708566853482793	AD
ENSG00000260230	552	458	94	0.6049618650212816	0.9081265012009607	0.9079263410728583	2.0016012810242234e-4	AD
ENSG00000282164	514	391	123	0.8141746906028414	0.8915132105684548	0.8692954363490792	0.02221777421937554	AD
ENSG00000197535	587	397	190	1.2975284600498938	0.92173738991192955	0.8730984787830264	0.04863891112890317	AD
ENSG00000177181	481	392	89	0.5688906881968746	0.8704963971176941	0.8706965572457966	-2.0016012810253336e-4	AD
ENSG00000186487	647	576	71	0.43903445162900995	0.9417534027221778	0.9519615692554043	-0.010208166533226537	AD
ENSG00000165434	660	360	300	2.0910943501868453	0.9479583666933546	0.8520816653322658	0.09587670136108883	AD
ENSG00000072201	657	512	145	0.9728878686302318	0.9463570856685348	0.9263410728582866	0.02001601281024823	AD
ENSG00000145864	664	605	59	0.3524636272504334	0.950160128102482	0.9639711769415532	-0.01381104883907125	AD
ENSG00000151952	655	533	122	0.8069604552379601	0.944755804643715	0.9355484387510008	0.009207365892714203	AD
ENSG00000157693	700	423	277	1.9251669367945734	0.9607686148919136	0.889911929543635	0.0708566853482786	AD
ENSG00000164794	536	736	-200	-1.516023332253843	0.899519615692554	0.9911929543634908	-0.09167333867093674	Control
ENSG00000118733	700	767	-67	-0.55653002872462	0.9607686148919136	0.9955964771817454	-0.03482786228983181	Control
ENSG00000163995	545	399	146	0.9801021039951132	0.9049239391513211	0.8740992794235388	0.030824659727782255	AD
ENSG00000197860	526	430	96	0.6193903357510443	0.8955164131305045	0.8939151321056845	0.0016012810248199338	AD
ENSG00000169851	640	487	153	1.030601751549283	0.9387510008006406	0.9187349879903923	0.02001601281024823	AD
ENSG00000149313	594	228	366	2.567233884269016	0.9235388310648519	0.7628102481985588	0.1607285828662931	AD
ENSG00000196872	725	193	532	3.764796954839324	0.9675740592473979	0.7255804643714971	0.24199359487590077	AD
ENSG00000156687	529	597	-68	-0.5637442640895014	0.8967173738991193	0.9619695756605284	-0.06525220176140911	Control
ENSG00000103316	555	372	183	1.247028812495724	0.9091273018414732	0.8588871096877502	0.050240192153722996	AD
ENSG00000166913	650	374	276	1.917952701429692	0.9431545236188951	0.8604883907125701	0.08266613290632496	AD
ENSG00000197872	631	351	280	1.9468096428892177	0.9341473178542834	0.8444755804643715	0.08967173738991185	AD
ENSG00000157219	690	554	136	0.9079597503462994	0.9577662129703763	0.9439551641313051	0.01381104883907125	AD
ENSG00000172348	481	297	184	1.2542430478606055	0.8704963971176941	0.8108486789431545	0.05964771817453962	AD
ENSG00000166342	469	328	141	0.9440309271707064	0.8624899919935949	0.8306645316253003	0.03182546036829459	AD
ENSG00000145335	531	252	279	1.9395954075243362	0.8979183346677342	0.7776220976781425	0.12029623698959169	AD
ENSG00000185760	566	578	-12	-0.1597470836561443	0.9129303442754203	0.9527622097678142	-0.039831865492393925	Control
ENSG00000127561	696	582	114	0.749246572318909	0.9593674939951962	0.9549639711769415	0.004403522818254624	AD
ENSG00000115419	558	387	171	1.1604579881171475	0.9105284227381906	0.8668935148118495	0.04363490792634106	AD
ENSG00000124507	640	407	233	1.6077405807397929	0.9387510008006406	0.8797037630104083	0.05904723779023224	AD
ENSG00000146352	480	455	25	0.10717962484446662	0.8694955964771818	0.9071257005604484	-0.03763010408326661	AD
ENSG00000163875	431	163	268	1.860238818510641	0.8430744595676541	0.6937550040032026	0.1493194555644516	AD
ENSG00000149575	656	596	60	0.3596778626153148	0.9453562850280224	0.9611689351481185	-0.01581265012009614	AD
ENSG00000082458	798	783	15	0.035037271195652864	0.9859887910328262	0.9971977582065652	-0.011208967173738982	AD
ENSG00000070961	765	550	215	1.477884344171928	0.9773819055244195	0.9423538831064852	0.035028022417934346	AD
ENSG00000198825	671	567	104	0.6771042186700953	0.9521617293835068	0.9499599679743795	0.002201761409127312	AD
ENSG00000078668	531	197	334	2.336378352592812	0.8979183346677342	0.727582065652522	0.17033626901521215	AD
ENSG00000115977	415	284	131	0.8718885735218924	0.8362690152121698	0.8012409927942354	0.035028022417934346	AD
ENSG00000160753	494	426	68	0.4173917455343658	0.8791032826261009	0.8919135308246597	-0.012810248198558805	AD
ENSG00000197106	641	530	111	0.727603866224265	0.9395516413130505	0.9331465172137711	0.006405124099279402	AD
ENSG00000133169	485	378	107	0.6987469247647394	0.8746997598078463	0.8626901521216973	0.012009607686149004	AD
ENSG00000104490	618	606	12	0.013394565101008733	0.9315452361889511	0.9643714971977582	-0.032826261008807034	AD
ENSG00000140323	607	236	371	2.603305061093423	0.9263410728582866	0.767413931144916	0.15892714171337063	AD
ENSG00000184672	645	170	475	3.353585539041086	0.9411529223378703	0.7041633306645316	0.23698959167333866	AD
ENSG00000163618	627	621	6	-0.029890847088279524	0.9331465172137711	0.9675740592473979	-0.03442754203362686	AD
ENSG00000185274	582	292	290	2.018951996538031	0.9199359487590072	0.8076461168935148	0.11228983186549235	AD
ENSG00000069424	631	252	379	2.661018944012474	0.9341473178542834	0.7776220976781425	0.1565252201761409	AD
ENSG00000153814	684	494	190	1.2975284600498938	0.9551641313050441	0.9201361088871097	0.035028022417934346	AD
ENSG00000169933	769	680	89	0.5688906881968746	0.9795836669335468	0.9837870296236989	-0.00420336269015209	AD
ENSG00000215218	610	411	199	1.362456578333826	0.9279423538831065	0.8831064851881505	0.04483586869495604	AD
ENSG00000163536	570	475	95	0.6121761003861629	0.9145316253002402	0.9145316253002402	0	AD
ENSG00000213023	511	359	152	1.0233875161844015	0.889911929543635	0.8512810248198559	0.03863090472377906	AD
ENSG00000185742	681	671	10	-0.001033905628754019	0.9547638110488391	0.9817854283426741	-0.02702161729383501	AD
ENSG00000129636	534	636	-102	-0.8090282664954682	0.899119295436349	0.9725780624499599	-0.07345876701361087	Control
ENSG00000179915	506	64	442	3.1155157720000006	0.8867093674939952	0.49419535628502803	0.3925140112089672	AD
ENSG00000127824	552	603	-51	-0.44110226288651794	0.9081265012009607	0.9631705364291433	-0.055044035228182575	Control
ENSG00000152503	656	129	527	3.7287257780149172	0.9453562850280224	0.6403122497998399	0.30504403522818246	AD
ENSG00000086289	548	350	198	1.3552423429689449	0.9067253803042434	0.84387510008006406	0.06285028022417938	AD
ENSG00000172020	612	307	305	2.127165527011252	0.9291433146517214	0.8178542834267414	0.11128903122498002	AD
ENSG00000156735	633	451	182	1.2398145771308426	0.9349479583666933	0.9035228182546037	0.03142514011208963	AD
ENSG00000164885	633	682	-49	-0.4266737921567552	0.9349479583666933	0.9845876701361089	-0.04963971176941562	Control
ENSG00000176204	690	514	176	1.1965291649415546	0.9577662129703763	0.9271417133706965	0.030624499599679833	AD
ENSG00000178171	567	443	124	0.8213889259677228	0.9135308246597278	0.8997197758206565	0.01381104883907125	AD
ENSG00000061918	634	583	51	0.2947497443313824	0.9357485988791033	0.955964771817454	-0.02021617293835065	AD
ENSG00000123178	262	155	107	0.6987469247647394	0.7487990392313851	0.6811449159327462	0.06765412329863896	AD
ENSG00000198673	451	427	24	0.09996538947958525	0.8536829463570856	0.8929143314651722	-0.03923138510808655	AD
ENSG00000101210	679	580	99	0.6410330418456884	0.9543634907926342	0.9533626901521217	0.0010008006405124448	AD
ENSG00000171450	383	326	57	0.3380351565206707	0.8198558847077662	0.8274619695756605	-0.00760608486789438	AD
ENSG00000107105	726	468	258	1.7880964648618274	0.9683746997598078	0.911128903122498	0.05724579663730989	AD
ENSG00000173726	428	255	173	1.1748864588469103	0.8426741393114492	0.7812249799839872	0.06144915932746198	AD
ENSG00000117016	502	238	264	1.8313818770511157	0.8839071257005604	0.7698158526821457	0.11409127301841471	AD
ENSG00000074706	616	246	370	2.5960908257285413	0.9305444355484388	0.7750200160128102	0.15552441953562857	AD
ENSG00000041353	537	286	251	1.7375968173076577	0.9001200960768615	0.8030424339471577	0.09707766212970381	AD
ENSG00000169744	639	386	253	1.7520252880374205	0.9373498799039232	0.866293034427542	0.07105684547638114	AD
ENSG00000174514	471	559	-88	-0.708028971387129	0.8634907926341073	0.9465572457966374	-0.08306645316253003	Control
ENSG00000157152	544	160	384	2.6970901208368807	0.9043234587670136	0.6879503602882305	0.21637309847878305	AD
ENSG00000077080	581	637	-56	-0.4771734397109249	0.9195356285028022	0.97337870296237	-0.05384307445956771	Control
ENSG00000136267	637	440	197	1.3480281076040634	0.9363490792634107	0.8983186549239391	0.03803042433947157	AD
ENSG00000150995	561	315	246	1.7015256404832508	0.911529223378703	0.8224579663730984	0.08907125700560459	AD
ENSG00000177542	470	64	406	2.855803298864271	0.8630904723779024	0.49419535628502803	0.36889511609287434	AD
ENSG00000114541	38	224	-186	-1.4150240371455036	0.5488390712570056	0.7592073658927142	-0.2103682946357086	Control
ENSG00000172031	480	150	330	2.3075214111332865	0.8694955964771818	0.6735388310648519	0.19595676541232987	AD
ENSG00000006432	433	269	164	1.109958340562978	0.8434747798238591	0.7918334667734187	0.051641313050440396	AD
ENSG00000104722	299	364	-65	-0.5421015579948573	0.7712169735788631	0.8536829463570856	-0.08246597277822254	Control
ENSG00000119042	422	87	335	2.3435925879576933	0.8408726981585268	0.5540432345876701	0.2868294635708567	AD
ENSG00000008086	568	428	140	0.9368166918058249	0.9139311449159327	0.8935148118494796	0.020416333066453185	AD
ENSG00000144331	455	91	364	2.5528054135392533	0.8548839071257006	0.5652522017614091	0.2896317053642915	AD
ENSG00000120251	591	159	432	3.043373418351187	0.923138510808647	0.6869495596477182	0.23618895116092875	AD
ENSG00000070087	474	422	52	0.3019639796962638	0.8658927141713371	0.8891112890312249	-0.023218574859887875	AD
ENSG00000112290	475	223	252	1.744811052672539	0.8668935148118495	0.7576060848678943	0.10928742994395524	AD
ENSG00000133627	609	520	89	0.5688906881968746	0.9271417133706965	0.9291433146517214	-0.0020016012810248895	AD
ENSG00000162188	501	592	-91	-0.7296716774817731	0.8831064851881505	0.9585668534827863	-0.07546036829463576	Control
ENSG00000164715	341	408	-67	-0.55653002872462	0.7974379503602882	0.8809047237790232	-0.08346677341873499	Control
ENSG00000196972	251	476	-225	-1.6963792163758773	0.7403923138510808	0.9151321056845476	-0.17473979183346677	Control
ENSG00000149927	556	423	133	0.8863170442516553	0.9097277822257807	0.889911929543635	0.019815852682145696	AD
ENSG00000156486	495	507	-12	-0.1597470836561443	0.8795036028823059	0.9251401120896717	-0.04563650920736584	Control
ENSG00000156959	445	238	207	1.4201704612528772	0.8512810248198559	0.7698158526821457	0.0814651721377102	AD
ENSG00000116106	499	535	-36	-0.3328887324132973	0.8817053642914331	0.9375500400320256	-0.055844675740592487	Control
ENSG00000081189	559	612	-53	-0.4555307336162807	0.911128903122498	0.9659727782225781	-0.05484387510008015	Control
ENSG00000108947	396	355	41	0.22260739068256866	0.8278622898318655	0.8472778222578062	-0.01941553242594074	AD
ENSG00000175175	575	528	47	0.2658928028718569	0.9175340272217775	0.9325460368294636	-0.015012009607686116	AD
ENSG00000149970	723	535	188	1.283099989320131	0.966773418734988	0.9375500400320256	0.029223378702962433	AD
ENSG00000164830	282	259	23	0.09275115411470387	0.7590072057646117	0.7844275420336269	-0.025420336269015187	AD
ENSG00000173611	616	634	-18	-0.20303249584543254	0.9305444355484388	0.9715772618094476	-0.04103282626100879	Control
ENSG00000144406	441	226	215	1.477884344171928	0.8464771817453963	0.7616092874299439	0.08486789431545239	AD
ENSG00000047249	615	404	211	1.4490274027124026	0.9299439551641313	0.8777021617293835	0.052241793434747774	AD
