gene	AD	CTL
ENSG00000135119	441	368
ENSG00000180875	390	348
ENSG00000180440	444	401
ENSG00000152931	473	507
ENSG00000138311	450	4
ENSG00000139767	326	52
ENSG00000110107	409	264
ENSG00000166159	469	344
ENSG00000197043	442	582
ENSG00000256443	6	NA
ENSG00000111674	381	304
ENSG00000104388	243	368
ENSG00000183454	531	521
ENSG00000142686	383	663
ENSG00000204065	361	391
ENSG00000138757	247	315
ENSG00000008277	325	444
ENSG00000101079	407	573
ENSG00000158301	540	663
ENSG00000117600	189	112
ENSG00000237515	446	245
ENSG00000143473	262	209
ENSG00000116478	381	557
ENSG00000174938	456	238
ENSG00000198513	340	172
ENSG00000197177	491	167
ENSG00000085415	451	357
ENSG00000143786	416	57
ENSG00000183258	44	2
ENSG00000162989	417	117
ENSG00000162951	456	82
ENSG00000138430	408	453
ENSG00000267909	404	290
ENSG00000151247	340	36
ENSG00000150394	465	178
ENSG00000166848	342	47
ENSG00000157445	426	193
ENSG00000075391	326	294
ENSG00000116983	223	156
ENSG00000165832	274	413
ENSG00000273079	333	181
ENSG00000184347	274	83
ENSG00000130643	416	162
ENSG00000133816	394	486
ENSG00000154174	351	544
ENSG00000070718	318	453
ENSG00000158109	302	639
ENSG00000118473	275	533
ENSG00000106789	419	185
ENSG00000129355	242	237
ENSG00000167281	218	19
ENSG00000175471	337	63
ENSG00000169783	253	59
ENSG00000115840	269	257
ENSG00000104381	324	351
ENSG00000172375	444	411
ENSG00000214376	337	539
ENSG00000140299	482	251
ENSG00000163013	272	31
ENSG00000155093	299	279
ENSG00000101152	459	534
ENSG00000088367	485	84
ENSG00000267272	287	150
ENSG00000042753	250	80
ENSG00000072657	408	256
ENSG00000135503	128	63
ENSG00000051382	397	336
ENSG00000175182	487	623
ENSG00000101489	517	393
ENSG00000082701	261	334
ENSG00000168032	375	383
ENSG00000162706	222	229
ENSG00000204851	574	469
ENSG00000169891	509	149
ENSG00000172350	476	391
ENSG00000119862	421	345
ENSG00000067221	249	134
ENSG00000145242	401	214
ENSG00000034053	323	51
ENSG00000139174	359	327
ENSG00000183780	108	39
ENSG00000159784	25	1
ENSG00000102471	300	165
ENSG00000164161	24	97
ENSG00000134490	548	191
ENSG00000241973	288	280
ENSG00000118898	328	192
ENSG00000172782	483	535
ENSG00000087152	492	569
ENSG00000186732	482	298
ENSG00000133101	395	156
ENSG00000134121	496	414
ENSG00000196353	362	1
ENSG00000185008	302	235
ENSG00000156564	203	222
ENSG00000184388	524	594
ENSG00000186469	200	115
ENSG00000182621	419	236
ENSG00000197885	346	533
ENSG00000148082	404	21
ENSG00000087470	357	185
ENSG00000204856	279	94
ENSG00000169032	422	319
ENSG00000145990	205	65
ENSG00000140854	363	405
ENSG00000129990	272	154
ENSG00000187189	419	633
ENSG00000177182	296	7
ENSG00000004660	364	504
ENSG00000198840	8	13
ENSG00000131711	288	22
ENSG00000021645	374	202
ENSG00000148408	117	123
ENSG00000171735	291	162
ENSG00000133134	322	388
ENSG00000124785	219	283
ENSG00000134265	321	228
ENSG00000108924	483	505
ENSG00000101911	510	367
ENSG00000162852	74	165
ENSG00000005810	273	201
ENSG00000156345	422	469
ENSG00000120899	348	20
ENSG00000168490	286	72
ENSG00000188674	442	285
ENSG00000171914	331	16
ENSG00000116141	164	58
ENSG00000083720	322	355
ENSG00000139218	128	225
ENSG00000065923	546	72
ENSG00000175931	434	445
ENSG00000168439	4	NA
