gene	AD	CTL
ENSG00000265354	229	110
ENSG00000130764	148	407
ENSG00000183248	54	196
ENSG00000120645	123	184
ENSG00000095002	190	183
ENSG00000124374	19	10
ENSG00000135638	168	167
ENSG00000179832	7	32
ENSG00000169255	290	240
ENSG00000167863	114	59
ENSG00000171004	492	353
ENSG00000164506	369	253
ENSG00000072041	327	315
ENSG00000111652	251	433
ENSG00000135709	285	477
ENSG00000144583	83	94
ENSG00000158445	319	275
ENSG00000196990	130	269
ENSG00000132429	85	5
ENSG00000167971	59	122
ENSG00000170419	326	414
ENSG00000090020	144	188
ENSG00000198954	179	284
ENSG00000172500	86	88
ENSG00000123360	305	202
ENSG00000005486	90	111
ENSG00000117632	251	38
ENSG00000162426	132	301
ENSG00000198853	127	267
ENSG00000166226	85	83
ENSG00000157470	525	295
ENSG00000144635	372	510
ENSG00000156486	439	288
ENSG00000162951	214	321
ENSG00000107643	332	338
ENSG00000175203	262	411
ENSG00000105778	182	182
ENSG00000069329	333	285
ENSG00000166342	370	198
ENSG00000180543	333	316
ENSG00000159189	7	47
ENSG00000171163	36	42
ENSG00000148498	194	47
ENSG00000116120	182	38
ENSG00000152061	400	123
ENSG00000096092	283	111
ENSG00000239911	109	21
ENSG00000155858	198	148
ENSG00000116141	247	165
ENSG00000067842	538	313
ENSG00000008118	334	106
ENSG00000156471	307	71
ENSG00000198673	434	464
ENSG00000135018	161	360
ENSG00000109519	146	82
ENSG00000118276	411	235
ENSG00000138663	163	266
ENSG00000136535	300	119
ENSG00000139505	285	294
ENSG00000078902	231	406
ENSG00000162374	171	11
ENSG00000144820	16	66
ENSG00000162694	294	258
ENSG00000004779	230	284
ENSG00000176396	421	462
ENSG00000133243	40	24
ENSG00000008086	200	195
ENSG00000183230	14	8
ENSG00000117118	125	117
ENSG00000142168	303	223
ENSG00000136928	66	95
ENSG00000198739	203	339
ENSG00000120899	169	72
ENSG00000175497	376	357
ENSG00000115194	146	110
ENSG00000188191	209	223
ENSG00000186416	543	500
ENSG00000198689	726	572
ENSG00000166780	366	307
ENSG00000047315	227	294
ENSG00000132305	243	135
ENSG00000171314	158	176
ENSG00000174099	105	24
ENSG00000137100	219	270
ENSG00000182636	101	68
ENSG00000168490	157	97
ENSG00000006530	211	245
ENSG00000136950	231	308
ENSG00000140945	470	342
ENSG00000156515	333	399
ENSG00000046889	63	51
ENSG00000204856	434	408
ENSG00000135324	199	67
ENSG00000140740	283	132
ENSG00000149823	43	165
ENSG00000189159	442	205
ENSG00000146216	47	152
ENSG00000123119	288	11
ENSG00000138686	291	79
ENSG00000114686	114	180
ENSG00000213619	148	32
ENSG00000184388	379	131
ENSG00000137040	331	337
ENSG00000116544	80	145
ENSG00000115944	142	82
ENSG00000108797	381	251
ENSG00000163220	1	2
ENSG00000164442	127	213
ENSG00000163001	323	255
ENSG00000135932	161	435
ENSG00000273079	191	173
ENSG00000089169	220	291
ENSG00000108349	8	2
ENSG00000156411	133	94
ENSG00000138028	158	201
ENSG00000166908	311	201
ENSG00000165023	315	243
ENSG00000117395	217	322
ENSG00000117598	390	91
ENSG00000176903	169	160
ENSG00000162599	290	98
ENSG00000116161	27	46
ENSG00000154975	458	459
ENSG00000154118	72	178
ENSG00000136541	26	22
ENSG00000182400	350	338
ENSG00000174938	133	101
ENSG00000196290	280	218
ENSG00000157693	348	414
ENSG00000130643	225	37
ENSG00000082701	229	447
ENSG00000157214	412	10
ENSG00000124659	286	231
ENSG00000102226	365	98
ENSG00000152556	103	158
