gene	AD	CTL
ENSG00000206573	131	246
ENSG00000156515	144	128
ENSG00000278259	82	186
ENSG00000241973	422	285
ENSG00000250251	106	201
ENSG00000226419	124	331
ENSG00000174748	190	102
ENSG00000149187	205	216
ENSG00000270170	334	268
ENSG00000119888	304	189
ENSG00000069329	305	98
ENSG00000177679	34	63
ENSG00000248019	145	165
ENSG00000052841	141	329
ENSG00000133059	258	185
ENSG00000157680	305	241
ENSG00000101489	142	233
ENSG00000012963	292	466
ENSG00000111912	362	218
ENSG00000156136	32	41
ENSG00000148334	304	280
ENSG00000100473	109	20
ENSG00000206052	206	287
ENSG00000172264	215	122
ENSG00000148229	383	207
ENSG00000178741	78	65
ENSG00000198168	179	93
ENSG00000148798	250	236
ENSG00000083720	326	368
ENSG00000268362	124	305
ENSG00000281183	100	196
ENSG00000115840	118	27
ENSG00000135164	144	353
ENSG00000115561	265	191
ENSG00000137825	238	320
ENSG00000126768	440	414
ENSG00000139631	74	300
ENSG00000165637	217	234
ENSG00000155629	17	74
ENSG00000139637	292	206
ENSG00000213918	147	153
ENSG00000158286	56	124
ENSG00000135940	212	169
ENSG00000132932	176	187
ENSG00000142507	354	315
ENSG00000086598	28	24
ENSG00000134516	10	51
ENSG00000138138	187	261
ENSG00000004478	6	10
ENSG00000172995	193	129
ENSG00000172348	224	91
ENSG00000116649	194	49
ENSG00000281026	168	365
ENSG00000072803	160	270
ENSG00000273079	158	195
ENSG00000120049	209	253
ENSG00000133026	250	76
ENSG00000138071	136	179
ENSG00000143575	267	119
ENSG00000119862	310	384
ENSG00000231721	107	372
ENSG00000160613	94	192
ENSG00000141385	374	358
ENSG00000162910	139	39
ENSG00000158805	80	105
ENSG00000154678	43	68
ENSG00000135624	243	143
ENSG00000079134	219	431
ENSG00000146433	357	225
ENSG00000162706	275	125
ENSG00000276644	33	10
ENSG00000122012	133	27
ENSG00000104863	194	326
ENSG00000061676	133	60
ENSG00000271204	92	273
ENSG00000070808	99	11
ENSG00000151500	306	29
ENSG00000050030	430	447
ENSG00000204623	159	337
ENSG00000175166	180	280
ENSG00000137575	249	21
ENSG00000154027	75	62
ENSG00000152061	231	347
ENSG00000184524	39	37
ENSG00000172031	29	3
ENSG00000135077	12	55
ENSG00000234771	60	174
ENSG00000123064	466	519
ENSG00000099795	183	145
ENSG00000175073	215	293
ENSG00000126822	20	49
ENSG00000144827	285	221
ENSG00000116675	85	183
ENSG00000164209	183	146
ENSG00000047056	256	109
ENSG00000114405	350	159
ENSG00000179091	269	251
ENSG00000136261	221	20
ENSG00000244627	136	356
ENSG00000150753	8	8
ENSG00000279759	96	230
ENSG00000259153	375	261
ENSG00000181467	370	134
ENSG00000179010	4	42
ENSG00000184845	58	93
ENSG00000169744	185	134
ENSG00000125869	214	216
ENSG00000161021	64	79
ENSG00000127946	18	40
ENSG00000127870	244	233
ENSG00000118733	96	40
ENSG00000126267	263	77
ENSG00000011009	199	127
ENSG00000164032	138	40
ENSG00000103415	84	4
ENSG00000147246	346	300
ENSG00000135447	321	364
ENSG00000167283	53	140
ENSG00000101365	417	403
ENSG00000204843	262	301
ENSG00000157764	235	223
ENSG00000102053	281	160
ENSG00000134644	275	106
ENSG00000172020	39	7
ENSG00000244754	111	316
ENSG00000105568	343	317
ENSG00000047315	252	309
ENSG00000179178	16	29
ENSG00000168259	136	76
ENSG00000152642	371	445
ENSG00000147650	254	324
ENSG00000181904	2	1
ENSG00000175756	117	146
ENSG00000125166	330	220
ENSG00000159433	40	123
ENSG00000134897	76	220
ENSG00000205060	158	288
ENSG00000178234	340	209
ENSG00000104327	64	111
ENSG00000178567	315	113
ENSG00000131187	199	250
ENSG00000168159	357	170
ENSG00000196419	427	258
ENSG00000164919	166	201
ENSG00000204308	303	379
ENSG00000133985	170	226
ENSG00000138095	127	84
ENSG00000239306	20	46
ENSG00000260565	92	267
ENSG00000122733	80	106
ENSG00000111262	57	104
ENSG00000180929	27	36
ENSG00000070182	203	211
ENSG00000054690	79	70
ENSG00000127995	365	303
