gene	region	logFC	t	adj.P.Val	B	direction	label
ENSG00000196990	CRB	-0.7227896659093425	-4.045480583577386	0.00340242269713724	1.3265057137454797	Underexpressed	FAM163B
ENSG00000280212	CRB	-0.7344055968631498	-4.044142863342602	0.00340861150937498	1.3230063285287548	Underexpressed	NA
ENSG00000271427	CRB	-0.666608603534069	-4.041602244416749	0.00340935427842212	1.319134339729513	Underexpressed	NA
ENSG00000177688	CRB	0.583145525078534	4.041101136108746	0.00340935427842212	1.31735850459508	Overexpressed	SUMO4
ENSG00000105467	CRB	-0.8908438032502382	-4.057693053472344	0.00340935427842212	1.3254191029853972	Underexpressed	SYNGR4
ENSG00000231770	CRB	-0.6647325374466471	-4.040113485501796	0.00341524179900129	1.313858980938436	Underexpressed	TMEM44-AS1
ENSG00000283064	CRB	0.7482859151352717	4.042079238232424	0.00342059031485351	1.3115401490979821	Overexpressed	H2BC6-AS1
ENSG00000140876	CRB	-0.5665475080903333	-4.0387948770836095	0.00342059031485351	1.309187871615391	Underexpressed	NUDT7
ENSG00000143194	CRB	-0.5475140350327887	-4.038026076113636	0.00342253933309769	1.306465005494199	Underexpressed	MAEL
ENSG00000273257	CRB	-0.5549527282583071	-4.037338413156064	0.00342253933309769	1.3040298656387748	Underexpressed	LINC02928
ENSG00000244119	CRB	-0.6373570334266869	-4.0372796034118945	0.00342253933309769	1.3038216253700456	Underexpressed	PDCL3P4
ENSG00000205632	CRB	-0.8897412861107181	-4.050302441241304	0.00345480523585162	1.3016578353151802	Underexpressed	LINC01310
ENSG00000256069	CRB	-0.5960100243787707	-4.033251947061738	0.00346345278201566	1.289565946597076	Underexpressed	A2MP1
ENSG00000229017	CRB	-0.5665070159639249	-4.032860376170649	0.00346345278201566	1.2881806231639148	Underexpressed	LINC01277
ENSG00000168314	CRB	-1.0922066502072951	-4.048176267500915	0.00346424321730083	1.2933707797911254	Underexpressed	MOBP
ENSG00000136297	CRB	-0.6980635016402363	-4.031896995336651	0.00346424321730083	1.2847727843049563	Underexpressed	MMD2
ENSG00000005381	CRB	-0.750683081947594	-4.0378321815864355	0.00347461634875507	1.2838374907888968	Underexpressed	MPO
ENSG00000149292	CRB	-0.7148570906711855	-4.033499705748341	0.00347461634875507	1.2805178330988172	Underexpressed	TTC12
ENSG00000286856	CRB	-0.5497325273420977	-4.0288805111150445	0.00348671809935862	1.2741066616917402	Underexpressed	NA
ENSG00000265408	CRB	0.7304579612285118	4.028146999467248	0.00349057068976493	1.271513992964394	Overexpressed	NA
ENSG00000254997	CRB	-0.6343460267397316	-4.025751755948553	0.00351123606651432	1.263050463372565	Underexpressed	KRTAP5-9
ENSG00000285413	CRB	-1.066643637358642	-4.03432723734194	0.00351123606651432	1.26688990588314	Underexpressed	NA
ENSG00000240875	CRB	-0.583671108749285	-4.025283168007457	0.00351123606651432	1.2613952026155486	Underexpressed	NA
ENSG00000249568	CRB	0.7203459668476198	4.029501520142902	0.00351502316094187	1.2613411978102338	Overexpressed	NA
ENSG00000224243	CRB	-0.6060067561942475	-4.023871885929153	0.00351722954491956	1.2564108811792645	Underexpressed	SOX1-OT
ENSG00000266910	CRB	-0.5956465718051787	-4.023213399129645	0.00351722954491956	1.2540857483424208	Underexpressed	NA
ENSG00000141668	CRB	-0.5969116659119043	-4.0222708976399915	0.00351722954491956	1.250758295363556	Underexpressed	CBLN2
ENSG00000259904	CRB	-0.569501532113982	-4.0219223004192495	0.00351722954491956	1.24952775268547	Underexpressed	ACTG1P15
ENSG00000265996	CRB	-0.7605481535732261	-4.0249013165249155	0.00351722954491956	1.2507472824681338	Underexpressed	MIR3671
ENSG00000176236	CRB	1.0934303665940046	4.041425580186225	0.00351722954491956	1.258801326041108	Overexpressed	RPP38-DT
ENSG00000272010	CRB	-0.5735605845755414	-4.018255677702945	0.00355889729824091	1.2365899283218145	Underexpressed	NA
ENSG00000268996	CRB	-0.8385452122484169	-4.030716888006401	0.00357597163514217	1.237026760538166	Underexpressed	MAN1B1-DT
