gene	logFC	AveExpr	t	P.Value	adj.P.Val	B
ENSG00000204334	-0.1276874779712065	5.2161943855713835	-1.8970420705798112	0.05974927350132507	0.15457142476686941	-4.50165586293972
ENSG00000255219	-0.4915885499397781	2.0458872144805427	-1.8968546432341566	0.059775354766229416	0.15462135830252854	-4.50199729627945
ENSG00000110031	-0.1302661144885633	7.645387768022176	-1.8966714653066499	0.05979888928530834	0.15466469357337573	-4.50232114219512
ENSG00000232903	-0.36690736353039277	5.1112217017295825	-1.896530503400996	0.05981849256994906	0.15469785236907	-4.502577758848573
ENSG00000148296	-0.06849705209853596	10.78788654199786	-1.8960041414804985	0.05988744823308707	0.15485862039138515	-4.503514425515281
ENSG00000280486	-0.24936556680909838	8.316004182534295	-1.8955405330505322	0.05995040320671757	0.15500383697263437	-4.504349992075584
ENSG00000273723	-0.12793576399680973	5.576289647949471	-1.8949999841655685	0.060021381731104384	0.15516976344834477	-4.505311593974843
ENSG00000166451	0.1278309584272801	7.392730257911723	1.8944534714125754	0.06009438042004557	0.15534087433299096	-4.506289322560024
ENSG00000172403	0.14612609729730153	9.6740707451682	1.8943415806663406	0.06011048623470943	0.1553648979550111	-4.506495163939885
ENSG00000140525	0.08534082663858644	7.324377204767071	1.8941882516813324	0.06012983308409743	0.1553972921415309	-4.506763712351441
ENSG00000159167	0.5887398919174531	6.55732821787906	1.8941271192545168	0.060139158638421286	0.15540378326155385	-4.506878743287218
ENSG00000128805	-0.14214272503328473	9.928862706059286	-1.8939324879312083	0.060165189772904894	0.15545343640541995	-4.5072268193646225
ENSG00000127946	0.2166811067470853	12.060967317695845	1.8933355307253958	0.060245089189445045	0.15564224616489275	-4.508294197483872
ENSG00000258704	-0.15888961729018014	5.168270448519683	-1.8929154548733962	0.06030021521361292	0.15576701873109863	-4.5090394428215195
ENSG00000139372	-0.08662759848896506	8.673954471565873	-1.8927616018486442	0.06032083800916958	0.15580264467442023	-4.509314429788573
ENSG00000151632	0.24747921001076367	7.211018693974592	1.892343923336167	0.060378006714463736	0.15591631550752635	-4.5100665149441745
ENSG00000204977	0.06350588866921747	9.914315890248204	1.892331510756176	0.06037851968967741	0.15591631550752635	-4.510083034038432
ENSG00000105122	0.19996334638010005	7.411017693386418	1.8922816789631058	0.06038635828858465	0.1559189033723254	-4.510177735951761
ENSG00000173540	0.07536316076587823	9.19150170823166	1.8921682019811827	0.060400433944503416	0.15593759304644433	-4.51037483523798
ENSG00000132676	-0.05161445529524755	10.775356138153713	-1.89205935028582	0.06041504435188877	0.15595765891720736	-4.510569318859831
ENSG00000166200	-0.06960333529135276	11.395211598687098	-1.8918245236295554	0.06044657358056014	0.1560213901824168	-4.5109888437213215
ENSG00000149179	-0.09442275287871205	11.092192204786967	-1.891768586495109	0.060454703027639486	0.15602471562197281	-4.511091793774153
ENSG00000277290	0.21831768301179366	4.497094459078655	1.8916894271757079	0.060465202114568836	0.1560341553096822	-4.511232543945545
ENSG00000185267	-0.30171449606097767	5.712611007856006	-1.8915112330229233	0.060489812172396885	0.15608000296593005	-4.511554114771016
