gene	logFC	AveExpr	t	P.Value	adj.P.Val	B
ENSG00000214526	1.094570501614406	3.8939041075325243	5.156641944781853	7.413600244239857e-7	1.978015184266513e-4	5.62887676952405
ENSG00000278925	-1.2206463926656523	4.136343069418092	-5.158185304338733	7.888223031115662e-7	2.0661242937504854e-4	5.576283042519364
ENSG00000251667	0.981016925180862	5.532375897378319	5.143642694998034	7.935503890999512e-7	2.0661242937504854e-4	5.5665066995383246
ENSG00000286117	-1.1142328440516178	3.414287182704956	-5.135305528467782	8.006718516950912e-7	2.0661242937504854e-4	5.55617366261343
ENSG00000273802	1.3697154634487614	6.411627086433492	5.160707686706389	8.091870602155948e-7	2.0661242937504854e-4	5.555287608774449
ENSG00000225769	1.0430620794344128	3.209454909154222	5.116763059952545	8.275791467344136e-7	2.0906057891867432e-4	5.521885621787124
ENSG00000162595	-0.8759079993119405	4.747283291719857	-5.107160306295132	8.648899758237742e-7	2.153614775143579e-4	5.481073628043811
ENSG00000286292	-1.1514585832629312	3.1933583619816286	-5.11753679039426	8.757821625649203e-7	2.153614775143579e-4	5.473789716863983
ENSG00000272483	-1.0571745803774482	3.004186256768124	-5.103452400630944	8.797297784423784e-7	2.153614775143579e-4	5.465329750735094
ENSG00000274560	-0.9687277639006933	3.569825496995535	-5.08928471462006	9.38743272820941e-7	2.2746324241230677e-4	5.405249583745089
ENSG00000229065	0.8537359535788367	4.865353619611756	5.084557699341263	9.592750716752769e-7	2.2837319453450315e-4	5.385230904287646
ENSG00000226891	-0.9744630053867347	6.132840766424409	-5.102665714063429	9.617333215468001e-7	2.2837319453450315e-4	5.389027708733334
ENSG00000254872	-1.0897024167452467	4.194190771535715	-5.087396112923792	1.0401713064823534e-6	2.4455354300722735e-4	5.3171615571863775
ENSG00000104524	-0.567593266718486	8.683288333306846	-5.059269153403624	1.076741961200644e-6	2.506697510850048e-4	5.278364611357647
ENSG00000272927	-0.7400567145843366	4.990898067027862	-5.049388833149315	1.1263330028014964e-6	2.5779991746603404e-4	5.236716893232092
ENSG00000269976	-0.7611717453977418	5.478720303636976	-5.047051427978432	1.138385192642322e-6	2.5779991746603404e-4	5.226872891744883
ENSG00000278611	-0.9247433776206444	6.413785246980793	-5.055512813610334	1.160351016673959e-6	2.5779991746603404e-4	5.21346141515169
ENSG00000101306	-0.8305760314948945	4.436825807196401	-5.041959164829215	1.1650770333965496e-6	2.5779991746603404e-4	5.205438286712564
ENSG00000277224	1.1480144038879616	4.148704928507031	5.067227236581074	1.1685861341385225e-6	2.5779991746603404e-4	5.211355742661313
ENSG00000066185	-0.7115036987972454	5.580811943615056	-5.040561504612847	1.172508678780918e-6	2.5779991746603404e-4	5.1995579460119075
ENSG00000118507	-0.4502757785042153	9.50881311650896	-5.03851709291053	1.1834621621477077e-6	2.578210321317382e-4	5.190958686013213
ENSG00000160307	-1.1852886079709872	13.68075734845913	-5.03565311890919	1.1989738244407333e-6	2.5882574941063323e-4	5.178916441382739
ENSG00000070159	-0.8044504778988975	6.9693500954925	-5.027667271915272	1.2432756026014561e-6	2.6597137350787544e-4	5.145364495231725
ENSG00000232859	-0.9345629899347845	8.443546865168221	-5.026214234164017	1.2955112550026764e-6	2.74671520190121e-4	5.109906486444901
ENSG00000286736	-1.394495174268187	3.7936023412233286	-5.0470709868781105	1.3343752618202521e-6	2.804077430724222e-4	5.091831408937692
ENSG00000249150	-1.299403283366729	2.8266663032714807	-5.02483034772483	1.4038891600801408e-6	2.905747484186129e-4	5.041220594418954
ENSG00000228804	0.861087502508501	4.664772059994726	4.998597201459416	1.4183569218893017e-6	2.905747484186129e-4	5.023557813022595
ENSG00000157303	-0.9173528253034329	4.626696241435579	-5.002864645919414	1.4194673130867976e-6	2.905747484186129e-4	5.024362764898063
ENSG00000273314	-0.7143206399834918	5.0925560159589685	-4.992792067949669	1.4560782849578985e-6	2.928470392188822e-4	4.999295694385728
ENSG00000218631	-1.104871717929659	3.8708947319874967	-5.00947693012887	1.4726365799768292e-6	2.928470392188822e-4	4.995436907171474
ENSG00000230269	-0.7783994180857983	5.1249774332252604	-4.988252625907358	1.4862514475219908e-6	2.928470392188822e-4	4.9803378545647785
ENSG00000176076	-0.788671104089163	7.191045256257731	-4.987992972441144	1.4879955481655125e-6	2.928470392188822e-4	4.979253859868482
ENSG00000174326	-0.7769610847240838	7.225649997886998	-4.985717367682166	1.5033660270334292e-6	2.928470392188822e-4	4.969755495996193
ENSG00000274922	-0.9687701055234936	3.9395696899026476	-4.988932829446087	1.5045624014446066e-6	2.928470392188822e-4	4.970194411128448
ENSG00000272791	-1.1097024271530622	4.099245586308197	-5.004391190560573	1.5280810514720644e-6	2.950066068963873e-4	4.962360946818425
ENSG00000264920	-0.8436155109925663	7.601819374285124	-4.977883300057963	1.5574673696517559e-6	2.9825500128831124e-4	4.937080489468585
ENSG00000166669	-0.4633936343463141	7.117097745366492	-4.955782532822509	1.7204670817789698e-6	3.268336905913873e-4	4.845104546603203
ENSG00000196154	0.9157341356403723	6.490992918141252	4.965220903842681	1.748165809366774e-6	3.2945988340653504e-4	4.834893898444063
ENSG00000266313	-0.7638688416028572	4.5346060455252815	-4.947366352254425	1.7867892353100232e-6	3.3219915816487354e-4	4.810158559174065
ENSG00000206172	-1.1774461988561908	5.363731936527776	-4.979582346717414	1.7906802090922183e-6	3.3219915816487354e-4	4.819539354944295
ENSG00000287332	-1.480250313594382	2.411622009822546	-4.974426893721915	1.814095973926056e-6	3.339342867972723e-4	4.806770284868442
ENSG00000287434	-0.855158808469763	3.806522306178366	-4.939764769560705	1.8488171740406678e-6	3.3553827027371045e-4	4.778632665438733
ENSG00000166432	-0.964251819936484	9.981973409982547	-4.942553999352751	1.8510702183886159e-6	3.3553827027371045e-4	4.778587969694616
